start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,32.66,7
2023-12-12,2023-12-18,19.72,6
2023-12-19,2023-12-25,19.96,9
2023-12-26,2024-01-01,18.99,6
2024-01-02,2024-01-08,18.96,5
2024-01-09,2024-01-15,18.87,10
2024-01-16,2024-01-22,18.93,6
2024-01-23,2024-01-29,19.07,3
2024-01-30,2024-02-05,18.85,2
2024-02-06,2024-02-12,19.37,6
2024-02-13,2024-02-19,19.21,5
2024-02-20,2024-02-26,18.74,14
2024-02-27,2024-03-04,18.67,5
2024-03-05,2024-03-11,18.98,10
2024-03-12,2024-03-18,19.46,6
2024-03-19,2024-03-25,19.96,3
2024-03-26,2024-04-01,21.04,11
2024-04-02,2024-04-08,21.41,2
2024-04-09,2024-04-15,21.68,7
2024-04-16,2024-04-22,21.78,10
2024-04-23,2024-04-29,21.97,6
2024-04-30,2024-05-06,22.39,4
2024-05-07,2024-05-13,21.69,11
2024-05-14,2024-05-20,21.35,10
2024-05-21,2024-05-27,21.06,8
2024-05-28,2024-06-03,21.66,6
2024-06-04,2024-06-10,22.49,8
2024-06-11,2024-06-17,22.24,11
2024-06-18,2024-06-24,20.25,16
2024-06-25,2024-07-01,19.61,7
2024-07-02,2024-07-08,19.57,4
2024-07-09,2024-07-15,20.43,8
2024-07-16,2024-07-22,20.6,5
2024-07-23,2024-07-29,20.61,3
2024-07-30,2024-08-05,20.9,3
2024-08-06,2024-08-12,21.08,3
2024-08-13,2024-08-19,20.75,5
2024-08-20,2024-08-26,20.88,9
2024-08-27,2024-09-02,20.47,8
2024-09-03,2024-09-09,20.66,18
2024-09-10,2024-09-16,20.44,4
2024-09-17,2024-09-23,20.6,5
2024-09-24,2024-09-30,21.29,8
2024-10-01,2024-10-07,21.6,2
2024-10-08,2024-10-14,21.5,11
2024-10-15,2024-10-21,21.64,6
2024-10-22,2024-10-28,21.73,9
2024-10-29,2024-11-04,22.56,8
2024-11-05,2024-11-11,23.1,4
2024-11-12,2024-11-18,25.12,15
2024-11-19,2024-11-25,27.62,6
2024-11-26,2024-12-02,29.64,6
