start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,3.78,0
2023-12-12,2023-12-18,3.78,0
2023-12-19,2023-12-25,3.78,0
2023-12-26,2024-01-01,3.94,0
2024-01-02,2024-01-08,3.94,0
2024-01-09,2024-01-15,4.74,1
2024-01-16,2024-01-22,4.74,0
2024-01-23,2024-01-29,4.74,0
2024-01-30,2024-02-05,4.74,0
2024-02-06,2024-02-12,4.74,0
2024-02-13,2024-02-19,5.0,0
2024-02-20,2024-02-26,5.0,0
2024-02-27,2024-03-04,5.0,0
2024-03-05,2024-03-11,5.0,0
2024-03-12,2024-03-18,5.0,0
2024-03-19,2024-03-25,5.25,0
2024-03-26,2024-04-01,5.33,0
2024-04-02,2024-04-08,5.58,1
2024-04-09,2024-04-15,5.58,0
2024-04-16,2024-04-22,5.43,1
2024-04-23,2024-04-29,5.11,1
2024-04-30,2024-05-06,5.11,1
2024-05-07,2024-05-13,4.95,1
2024-05-14,2024-05-20,4.94,1
2024-05-21,2024-05-27,4.94,0
2024-05-28,2024-06-03,4.94,3
2024-06-04,2024-06-10,4.94,0
2024-06-11,2024-06-17,4.95,1
2024-06-18,2024-06-24,4.91,4
2024-06-25,2024-07-01,4.91,0
2024-07-02,2024-07-08,4.91,0
2024-07-09,2024-07-15,4.69,1
2024-07-16,2024-07-22,4.71,1
2024-07-23,2024-07-29,4.71,0
2024-07-30,2024-08-05,4.71,0
2024-08-06,2024-08-12,4.71,0
2024-08-13,2024-08-19,4.79,1
2024-08-20,2024-08-26,4.8,1
2024-08-27,2024-09-02,4.8,0
2024-09-03,2024-09-09,4.9,1
2024-09-10,2024-09-16,4.9,0
2024-09-17,2024-09-23,4.9,1
2024-09-24,2024-09-30,4.9,0
2024-10-01,2024-10-07,4.9,0
2024-10-08,2024-10-14,5.01,2
2024-10-15,2024-10-21,5.12,1
2024-10-22,2024-10-28,5.12,0
2024-10-29,2024-11-04,5.12,0
2024-11-05,2024-11-11,5.23,1
2024-11-12,2024-11-18,5.31,0
2024-11-19,2024-11-25,5.42,2
2024-11-26,2024-12-02,5.46,0
