start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,41.09,1
2023-12-12,2023-12-18,31.6,0
2023-12-19,2023-12-25,31.6,0
2023-12-26,2024-01-01,31.6,0
2024-01-02,2024-01-08,31.03,2
2024-01-09,2024-01-15,31.03,0
2024-01-16,2024-01-22,30.28,1
2024-01-23,2024-01-29,30.03,0
2024-01-30,2024-02-05,30.03,0
2024-02-06,2024-02-12,30.1,1
2024-02-13,2024-02-19,30.97,1
2024-02-20,2024-02-26,30.2,1
2024-02-27,2024-03-04,30.2,0
2024-03-05,2024-03-11,30.24,1
2024-03-12,2024-03-18,30.97,2
2024-03-19,2024-03-25,30.97,0
2024-03-26,2024-04-01,32.92,1
2024-04-02,2024-04-08,32.7,4
2024-04-09,2024-04-15,32.7,0
2024-04-16,2024-04-22,32.97,0
2024-04-23,2024-04-29,32.97,0
2024-04-30,2024-05-06,33.31,2
2024-05-07,2024-05-13,33.72,1
2024-05-14,2024-05-20,34.82,0
2024-05-21,2024-05-27,35.39,0
2024-05-28,2024-06-03,36.09,2
2024-06-04,2024-06-10,36.57,0
2024-06-11,2024-06-17,36.57,0
2024-06-18,2024-06-24,36.57,0
2024-06-25,2024-07-01,36.57,0
2024-07-02,2024-07-08,37.19,0
2024-07-09,2024-07-15,37.19,0
2024-07-16,2024-07-22,38.3,1
2024-07-23,2024-07-29,38.92,1
2024-07-30,2024-08-05,38.57,2
2024-08-06,2024-08-12,38.97,0
2024-08-13,2024-08-19,38.16,1
2024-08-20,2024-08-26,38.51,0
2024-08-27,2024-09-02,38.51,0
2024-09-03,2024-09-09,38.62,1
2024-09-10,2024-09-16,38.7,0
2024-09-17,2024-09-23,38.7,0
2024-09-24,2024-09-30,36.36,2
2024-10-01,2024-10-07,38.31,2
2024-10-08,2024-10-14,38.7,1
2024-10-15,2024-10-21,38.7,0
2024-10-22,2024-10-28,38.7,0
2024-10-29,2024-11-04,40.18,2
2024-11-05,2024-11-11,40.15,1
2024-11-12,2024-11-18,40.43,1
2024-11-19,2024-11-25,40.66,2
2024-11-26,2024-12-02,41.0,1
