start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,26.37,0
2023-12-12,2023-12-18,26.37,0
2023-12-19,2023-12-25,26.8,1
2023-12-26,2024-01-01,26.8,0
2024-01-02,2024-01-08,27.13,1
2024-01-09,2024-01-15,27.51,2
2024-01-16,2024-01-22,27.78,1
2024-01-23,2024-01-29,27.78,0
2024-01-30,2024-02-05,27.78,0
2024-02-06,2024-02-12,27.9,1
2024-02-13,2024-02-19,27.95,1
2024-02-20,2024-02-26,28.34,1
2024-02-27,2024-03-04,28.34,0
2024-03-05,2024-03-11,28.62,0
2024-03-12,2024-03-18,28.73,0
2024-03-19,2024-03-25,29.33,0
2024-03-26,2024-04-01,29.3,1
2024-04-02,2024-04-08,29.3,0
2024-04-09,2024-04-15,29.3,0
2024-04-16,2024-04-22,29.64,0
2024-04-23,2024-04-29,29.62,1
2024-04-30,2024-05-06,29.32,0
2024-05-07,2024-05-13,29.65,1
2024-05-14,2024-05-20,29.94,0
2024-05-21,2024-05-27,29.94,1
2024-05-28,2024-06-03,30.33,1
2024-06-04,2024-06-10,30.33,0
2024-06-11,2024-06-17,30.19,0
2024-06-18,2024-06-24,30.19,0
2024-06-25,2024-07-01,30.19,0
2024-07-02,2024-07-08,30.21,0
2024-07-09,2024-07-15,29.89,1
2024-07-16,2024-07-22,29.71,0
2024-07-23,2024-07-29,29.71,0
2024-07-30,2024-08-05,29.71,0
2024-08-06,2024-08-12,30.3,1
2024-08-13,2024-08-19,30.49,0
2024-08-20,2024-08-26,30.85,0
2024-08-27,2024-09-02,30.85,0
2024-09-03,2024-09-09,30.85,0
2024-09-10,2024-09-16,30.85,0
2024-09-17,2024-09-23,30.74,1
2024-09-24,2024-09-30,30.88,1
2024-10-01,2024-10-07,30.88,0
2024-10-08,2024-10-14,30.45,1
2024-10-15,2024-10-21,30.45,0
2024-10-22,2024-10-28,30.19,1
2024-10-29,2024-11-04,29.87,1
2024-11-05,2024-11-11,28.22,3
2024-11-12,2024-11-18,28.15,1
2024-11-19,2024-11-25,27.92,1
2024-11-26,2024-12-02,28.18,1
