start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,6.7,29
2023-12-10,2023-12-16,7.03,8
2023-12-12,2023-12-18,7.03,3
2023-12-26,2024-01-01,1.43,47
2024-01-02,2024-01-08,1.46,56
2024-01-09,2024-01-15,1.22,49
2024-01-16,2024-01-22,1.37,38
2024-01-23,2024-01-29,1.62,89
2024-01-30,2024-02-05,1.54,46
2024-02-06,2024-02-12,1.99,78
2024-02-13,2024-02-19,2.28,39
2024-02-20,2024-02-26,2.9,29
2024-02-27,2024-03-04,3.56,28
2024-03-05,2024-03-11,3.36,34
2024-03-12,2024-03-18,3.58,55
2024-03-19,2024-03-25,3.6,41
2024-03-26,2024-04-01,3.11,39
2024-04-02,2024-04-08,3.18,38
2024-04-09,2024-04-15,3.42,36
2024-04-16,2024-04-22,3.2,36
2024-04-23,2024-04-29,2.76,37
2024-04-30,2024-05-06,2.88,26
2024-05-07,2024-05-13,2.91,13
2024-05-14,2024-05-20,2.59,21
2024-05-21,2024-05-27,3.24,34
2024-05-28,2024-06-03,3.18,29
2024-06-04,2024-06-10,3.21,48
2024-06-11,2024-06-17,3.29,21
2024-06-18,2024-06-24,3.58,45
2024-06-25,2024-07-01,3.9,38
2024-07-02,2024-07-08,3.55,30
2024-07-09,2024-07-15,3.87,37
2024-07-16,2024-07-22,4.01,24
2024-07-23,2024-07-29,3.58,31
2024-07-30,2024-08-05,2.96,25
2024-08-06,2024-08-12,3.12,37
2024-08-13,2024-08-19,3.05,64
2024-08-20,2024-08-26,2.93,25
2024-08-27,2024-09-02,3.0,23
2024-09-03,2024-09-09,3.2,29
2024-09-10,2024-09-16,3.55,30
2024-09-17,2024-09-23,3.74,36
2024-09-24,2024-09-30,3.63,30
2024-10-01,2024-10-07,3.57,29
2024-10-08,2024-10-14,4.18,32
2024-10-15,2024-10-21,4.42,28
2024-10-22,2024-10-28,4.08,44
2024-10-29,2024-11-04,4.16,25
2024-11-05,2024-11-11,4.15,30
2024-11-12,2024-11-18,3.88,18
2024-11-19,2024-11-25,4.06,46
2024-11-26,2024-12-02,6.17,27
