start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,31.43,10
2023-12-10,2023-12-16,31.94,2
2023-12-19,2023-12-25,27.21,24
2023-12-26,2024-01-01,28.11,12
2024-01-02,2024-01-08,29.18,14
2024-01-09,2024-01-15,28.91,12
2024-01-16,2024-01-22,29.07,19
2024-01-23,2024-01-29,27.64,18
2024-01-30,2024-02-05,29.18,28
2024-02-06,2024-02-12,28.97,8
2024-02-13,2024-02-19,29.03,7
2024-02-20,2024-02-26,28.4,12
2024-02-27,2024-03-04,29.2,10
2024-03-05,2024-03-11,29.14,15
2024-03-12,2024-03-18,29.99,10
2024-03-19,2024-03-25,30.86,12
2024-03-26,2024-04-01,30.55,8
2024-04-02,2024-04-08,32.01,25
2024-04-09,2024-04-15,32.53,8
2024-04-16,2024-04-22,33.64,10
2024-04-23,2024-04-29,33.5,10
2024-04-30,2024-05-06,33.82,15
2024-05-07,2024-05-13,33.66,11
2024-05-14,2024-05-20,34.44,5
2024-05-21,2024-05-27,34.14,14
2024-05-28,2024-06-03,34.11,4
2024-06-04,2024-06-10,33.34,9
2024-06-11,2024-06-17,33.89,8
2024-06-18,2024-06-24,32.45,9
2024-06-25,2024-07-01,32.54,7
2024-07-02,2024-07-08,31.74,12
2024-07-09,2024-07-15,32.06,8
2024-07-16,2024-07-22,30.36,14
2024-07-23,2024-07-29,29.7,8
2024-07-30,2024-08-05,28.79,7
2024-08-06,2024-08-12,28.05,10
2024-08-13,2024-08-19,29.24,20
2024-08-20,2024-08-26,30.0,12
2024-08-27,2024-09-02,29.49,12
2024-09-03,2024-09-09,29.91,5
2024-09-10,2024-09-16,30.15,5
2024-09-17,2024-09-23,29.39,14
2024-09-24,2024-09-30,29.47,14
2024-10-01,2024-10-07,29.47,14
2024-10-08,2024-10-14,30.37,4
2024-10-15,2024-10-21,30.14,11
2024-10-22,2024-10-28,32.92,13
2024-10-29,2024-11-04,33.44,5
2024-11-05,2024-11-11,31.22,8
2024-11-12,2024-11-18,29.73,17
2024-11-19,2024-11-25,29.74,29
2024-11-26,2024-12-02,30.1,13
