start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,8.13,2
2023-12-12,2023-12-18,7.99,1
2023-12-19,2023-12-25,7.46,0
2023-12-26,2024-01-01,7.46,0
2024-01-02,2024-01-08,7.46,0
2024-01-09,2024-01-15,7.46,0
2024-01-16,2024-01-22,7.41,1
2024-01-23,2024-01-29,7.41,0
2024-01-30,2024-02-05,7.46,1
2024-02-06,2024-02-12,7.41,0
2024-02-13,2024-02-19,7.41,0
2024-02-20,2024-02-26,7.36,1
2024-02-27,2024-03-04,7.36,0
2024-03-05,2024-03-11,7.44,1
2024-03-12,2024-03-18,7.44,0
2024-03-19,2024-03-25,7.0,1
2024-03-26,2024-04-01,7.06,1
2024-04-02,2024-04-08,6.98,2
2024-04-09,2024-04-15,7.03,1
2024-04-16,2024-04-22,6.97,0
2024-04-23,2024-04-29,7.03,0
2024-04-30,2024-05-06,7.03,0
2024-05-07,2024-05-13,6.89,1
2024-05-14,2024-05-20,6.84,1
2024-05-21,2024-05-27,6.81,1
2024-05-28,2024-06-03,6.81,0
2024-06-04,2024-06-10,6.69,0
2024-06-11,2024-06-17,6.73,1
2024-06-18,2024-06-24,6.73,0
2024-06-25,2024-07-01,6.73,0
2024-07-02,2024-07-08,6.73,1
2024-07-09,2024-07-15,6.73,0
2024-07-16,2024-07-22,6.63,0
2024-07-23,2024-07-29,6.52,0
2024-07-30,2024-08-05,6.64,0
2024-08-06,2024-08-12,6.53,1
2024-08-13,2024-08-19,6.54,1
2024-08-20,2024-08-26,6.9,1
2024-08-27,2024-09-02,6.79,1
2024-09-03,2024-09-09,7.01,1
2024-09-10,2024-09-16,7.4,1
2024-09-17,2024-09-23,7.4,0
2024-09-24,2024-09-30,7.41,0
2024-10-01,2024-10-07,7.53,0
2024-10-08,2024-10-14,7.51,0
2024-10-15,2024-10-21,7.63,3
2024-10-22,2024-10-28,7.63,0
2024-10-29,2024-11-04,7.52,2
2024-11-05,2024-11-11,8.06,2
2024-11-12,2024-11-18,8.06,0
2024-11-19,2024-11-25,8.22,1
2024-11-26,2024-12-02,8.22,0
