start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,25.14,0
2023-12-12,2023-12-18,24.77,0
2023-12-19,2023-12-25,24.77,0
2023-12-26,2024-01-01,24.55,1
2024-01-02,2024-01-08,24.55,0
2024-01-09,2024-01-15,24.55,0
2024-01-16,2024-01-22,24.55,0
2024-01-23,2024-01-29,24.6,0
2024-01-30,2024-02-05,24.6,0
2024-02-06,2024-02-12,24.6,0
2024-02-13,2024-02-19,23.64,1
2024-02-20,2024-02-26,23.54,1
2024-02-27,2024-03-04,23.54,0
2024-03-05,2024-03-11,23.25,0
2024-03-12,2024-03-18,23.07,1
2024-03-19,2024-03-25,21.57,1
2024-03-26,2024-04-01,21.53,0
2024-04-02,2024-04-08,21.53,0
2024-04-09,2024-04-15,21.27,0
2024-04-16,2024-04-22,21.52,1
2024-04-23,2024-04-29,21.91,1
2024-04-30,2024-05-06,21.73,0
2024-05-07,2024-05-13,21.73,0
2024-05-14,2024-05-20,22.08,0
2024-05-21,2024-05-27,23.0,2
2024-05-28,2024-06-03,24.42,2
2024-06-04,2024-06-10,25.84,3
2024-06-11,2024-06-17,25.56,1
2024-06-18,2024-06-24,25.76,1
2024-06-25,2024-07-01,24.69,2
2024-07-02,2024-07-08,24.69,0
2024-07-09,2024-07-15,24.1,3
2024-07-16,2024-07-22,24.1,0
2024-07-23,2024-07-29,24.1,0
2024-07-30,2024-08-05,23.99,3
2024-08-06,2024-08-12,23.99,0
2024-08-13,2024-08-19,24.1,0
2024-08-20,2024-08-26,24.2,0
2024-08-27,2024-09-02,24.2,0
2024-09-03,2024-09-09,24.39,0
2024-09-10,2024-09-16,24.39,0
2024-09-17,2024-09-23,24.57,0
2024-09-24,2024-09-30,25.36,1
2024-10-01,2024-10-07,25.36,0
2024-10-08,2024-10-14,25.36,0
2024-10-15,2024-10-21,25.44,0
2024-10-22,2024-10-28,25.53,0
2024-10-29,2024-11-04,25.53,0
2024-11-05,2024-11-11,25.53,0
2024-11-12,2024-11-18,25.67,1
2024-11-19,2024-11-25,26.45,1
2024-11-26,2024-12-02,25.7,0
