start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.92,4
2023-12-10,2023-12-16,5.77,3
2023-12-11,2023-12-17,5.77,2
2023-12-26,2024-01-01,2.91,5
2024-01-02,2024-01-08,2.91,0
2024-01-09,2024-01-15,3.21,4
2024-01-16,2024-01-22,3.53,4
2024-01-23,2024-01-29,3.84,9
2024-01-30,2024-02-05,3.89,1
2024-02-06,2024-02-12,4.09,2
2024-02-13,2024-02-19,4.21,6
2024-02-20,2024-02-26,4.8,8
2024-02-27,2024-03-04,5.3,7
2024-03-05,2024-03-11,6.31,5
2024-03-12,2024-03-18,6.29,2
2024-03-19,2024-03-25,6.52,10
2024-03-26,2024-04-01,6.74,3
2024-04-02,2024-04-08,6.82,3
2024-04-09,2024-04-15,6.89,3
2024-04-16,2024-04-22,6.99,8
2024-04-23,2024-04-29,7.21,4
2024-04-30,2024-05-06,6.85,5
2024-05-07,2024-05-13,6.96,5
2024-05-14,2024-05-20,7.09,3
2024-05-21,2024-05-27,7.09,2
2024-05-28,2024-06-03,7.05,3
2024-06-04,2024-06-10,7.16,4
2024-06-11,2024-06-17,7.04,3
2024-06-18,2024-06-24,6.98,3
2024-06-25,2024-07-01,6.86,4
2024-07-02,2024-07-08,6.72,5
2024-07-09,2024-07-15,6.69,1
2024-07-16,2024-07-22,6.46,6
2024-07-23,2024-07-29,6.32,4
2024-07-30,2024-08-05,6.31,5
2024-08-06,2024-08-12,6.26,2
2024-08-13,2024-08-19,6.26,0
2024-08-20,2024-08-26,6.31,4
2024-08-27,2024-09-02,6.19,4
2024-09-03,2024-09-09,6.12,2
2024-09-10,2024-09-16,6.24,2
2024-09-17,2024-09-23,6.24,0
2024-09-24,2024-09-30,6.15,4
2024-10-01,2024-10-07,6.22,1
2024-10-08,2024-10-14,6.19,3
2024-10-15,2024-10-21,6.12,2
2024-10-22,2024-10-28,6.2,3
2024-10-29,2024-11-04,6.13,5
2024-11-05,2024-11-11,6.16,6
2024-11-12,2024-11-18,6.15,2
2024-11-19,2024-11-25,6.18,6
2024-11-26,2024-12-02,6.14,1
