start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,125.16,0
2023-12-10,2023-12-16,125.16,0
2023-12-19,2023-12-25,178.5,1
2023-12-26,2024-01-01,179.69,1
2024-01-02,2024-01-08,178.8,0
2024-01-09,2024-01-15,182.15,0
2024-01-16,2024-01-22,180.94,0
2024-01-23,2024-01-29,180.94,0
2024-01-30,2024-02-05,176.44,1
2024-02-06,2024-02-12,172.94,1
2024-02-13,2024-02-19,173.03,1
2024-02-20,2024-02-26,169.86,0
2024-02-27,2024-03-04,168.01,1
2024-03-05,2024-03-11,168.01,0
2024-03-12,2024-03-18,168.01,0
2024-03-19,2024-03-25,164.57,0
2024-03-26,2024-04-01,161.26,1
2024-04-02,2024-04-08,160.16,0
2024-04-09,2024-04-15,156.41,3
2024-04-16,2024-04-22,152.28,1
2024-04-23,2024-04-29,151.43,1
2024-04-30,2024-05-06,150.2,1
2024-05-07,2024-05-13,150.75,3
2024-05-14,2024-05-20,151.83,1
2024-05-21,2024-05-27,151.02,1
2024-05-28,2024-06-03,151.02,0
2024-06-04,2024-06-10,148.83,1
2024-06-11,2024-06-17,146.04,1
2024-06-18,2024-06-24,139.37,4
2024-06-25,2024-07-01,137.75,0
2024-07-02,2024-07-08,137.75,0
2024-07-09,2024-07-15,137.75,0
2024-07-16,2024-07-22,136.97,1
2024-07-23,2024-07-29,135.92,0
2024-07-30,2024-08-05,135.92,0
2024-08-06,2024-08-12,133.58,1
2024-08-13,2024-08-19,131.91,1
2024-08-20,2024-08-26,131.76,2
2024-08-27,2024-09-02,131.63,0
2024-09-03,2024-09-09,131.17,1
2024-09-10,2024-09-16,130.73,2
2024-09-17,2024-09-23,130.84,1
2024-09-24,2024-09-30,126.78,2
2024-10-01,2024-10-07,126.78,0
2024-10-08,2024-10-14,126.96,1
2024-10-15,2024-10-21,126.96,0
2024-10-22,2024-10-28,126.66,1
2024-10-29,2024-11-04,126.12,1
2024-11-05,2024-11-11,123.36,1
2024-11-12,2024-11-18,120.85,3
2024-11-19,2024-11-25,124.92,6
2024-11-26,2024-12-02,125.16,1
