start_date,end_date,price,quantity_sold
2023-12-12,2023-12-18,10.32,6
2023-12-19,2023-12-25,10.13,9
2023-12-26,2024-01-01,10.31,7
2024-01-02,2024-01-08,10.22,4
2024-01-09,2024-01-15,10.33,12
2024-01-16,2024-01-22,10.46,2
2024-01-23,2024-01-29,10.97,4
2024-01-30,2024-02-05,12.39,9
2024-02-06,2024-02-12,12.17,6
2024-02-13,2024-02-19,12.05,9
2024-02-20,2024-02-26,11.02,9
2024-02-27,2024-03-04,10.62,6
2024-03-05,2024-03-11,10.7,3
2024-03-12,2024-03-18,10.43,6
2024-03-19,2024-03-25,10.56,8
2024-03-26,2024-04-01,10.54,3
2024-04-02,2024-04-08,10.33,3
2024-04-09,2024-04-15,10.01,5
2024-04-16,2024-04-22,10.57,7
2024-04-23,2024-04-29,10.66,11
2024-04-30,2024-05-06,10.64,5
2024-05-07,2024-05-13,10.59,19
2024-05-14,2024-05-20,10.62,5
2024-05-21,2024-05-27,10.88,4
2024-05-28,2024-06-03,11.01,6
2024-06-04,2024-06-10,11.09,4
2024-06-11,2024-06-17,11.42,6
2024-06-18,2024-06-24,11.47,1
2024-06-25,2024-07-01,11.68,5
2024-07-02,2024-07-08,11.77,5
2024-07-09,2024-07-15,11.96,2
2024-07-16,2024-07-22,11.93,1
2024-07-23,2024-07-29,12.1,5
2024-07-30,2024-08-05,11.86,4
2024-08-06,2024-08-12,12.26,4
2024-08-13,2024-08-19,11.9,10
2024-08-20,2024-08-26,12.08,3
2024-08-27,2024-09-02,12.02,6
2024-09-03,2024-09-09,12.17,2
2024-09-10,2024-09-16,11.57,6
2024-09-17,2024-09-23,11.41,6
2024-09-24,2024-09-30,10.56,5
2024-10-01,2024-10-07,10.43,2
2024-10-08,2024-10-14,9.73,7
2024-10-15,2024-10-21,9.48,2
2024-10-22,2024-10-28,8.73,10
2024-10-29,2024-11-04,8.86,8
2024-11-05,2024-11-11,8.92,4
2024-11-12,2024-11-18,9.08,9
2024-11-19,2024-11-25,9.26,11
2024-11-26,2024-12-02,9.15,3
2024-11-29,2024-12-05,9.15,2
