start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,9.7,3
2023-12-12,2023-12-18,9.82,11
2023-12-19,2023-12-25,10.06,5
2023-12-26,2024-01-01,10.18,6
2024-01-02,2024-01-08,10.15,4
2024-01-09,2024-01-15,10.02,7
2024-01-16,2024-01-22,10.27,4
2024-01-23,2024-01-29,9.78,8
2024-01-30,2024-02-05,9.82,10
2024-02-06,2024-02-12,9.77,3
2024-02-13,2024-02-19,9.6,5
2024-02-20,2024-02-26,9.73,5
2024-02-27,2024-03-04,9.91,5
2024-03-05,2024-03-11,9.9,3
2024-03-12,2024-03-18,9.87,4
2024-03-19,2024-03-25,9.93,3
2024-03-26,2024-04-01,10.03,3
2024-04-02,2024-04-08,10.29,7
2024-04-09,2024-04-15,10.39,3
2024-04-16,2024-04-22,10.39,1
2024-04-23,2024-04-29,9.73,9
2024-04-30,2024-05-06,9.75,1
2024-05-07,2024-05-13,9.48,8
2024-05-14,2024-05-20,9.34,3
2024-05-21,2024-05-27,9.16,8
2024-05-28,2024-06-03,9.14,8
2024-06-04,2024-06-10,9.16,4
2024-06-11,2024-06-17,8.89,5
2024-06-18,2024-06-24,8.93,4
2024-06-25,2024-07-01,8.83,5
2024-07-02,2024-07-08,8.83,1
2024-07-09,2024-07-15,8.94,10
2024-07-16,2024-07-22,8.96,1
2024-07-23,2024-07-29,8.7,8
2024-07-30,2024-08-05,8.55,6
2024-08-06,2024-08-12,8.31,3
2024-08-13,2024-08-19,8.18,6
2024-08-20,2024-08-26,8.16,3
2024-08-27,2024-09-02,8.15,6
2024-09-03,2024-09-09,8.31,6
2024-09-10,2024-09-16,8.27,6
2024-09-17,2024-09-23,8.27,5
2024-09-24,2024-09-30,7.87,8
2024-10-01,2024-10-07,7.48,6
2024-10-08,2024-10-14,7.46,6
2024-10-15,2024-10-21,7.45,8
2024-10-22,2024-10-28,7.65,3
2024-10-29,2024-11-04,7.75,4
2024-11-05,2024-11-11,7.97,5
2024-11-12,2024-11-18,8.01,7
2024-11-19,2024-11-25,7.93,10
2024-11-26,2024-12-02,7.98,4
