start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,16.45,1
2023-12-12,2023-12-18,14.88,10
2023-12-19,2023-12-25,14.93,6
2023-12-26,2024-01-01,15.79,7
2024-01-02,2024-01-08,16.19,7
2024-01-09,2024-01-15,16.23,5
2024-01-16,2024-01-22,16.52,5
2024-01-23,2024-01-29,17.43,6
2024-01-30,2024-02-05,17.24,6
2024-02-06,2024-02-12,16.95,6
2024-02-13,2024-02-19,16.85,7
2024-02-20,2024-02-26,15.98,3
2024-02-27,2024-03-04,16.31,4
2024-03-05,2024-03-11,16.69,5
2024-03-12,2024-03-18,16.64,2
2024-03-19,2024-03-25,16.96,6
2024-03-26,2024-04-01,16.69,8
2024-04-02,2024-04-08,16.27,8
2024-04-09,2024-04-15,16.12,3
2024-04-16,2024-04-22,15.97,3
2024-04-23,2024-04-29,15.99,4
2024-04-30,2024-05-06,16.14,10
2024-05-07,2024-05-13,16.68,8
2024-05-14,2024-05-20,16.64,2
2024-05-21,2024-05-27,17.05,8
2024-05-28,2024-06-03,17.03,1
2024-06-04,2024-06-10,16.98,3
2024-06-11,2024-06-17,17.13,8
2024-06-18,2024-06-24,16.79,6
2024-06-25,2024-07-01,16.73,4
2024-07-02,2024-07-08,16.83,5
2024-07-09,2024-07-15,16.58,7
2024-07-16,2024-07-22,16.73,3
2024-07-23,2024-07-29,16.78,1
2024-07-30,2024-08-05,16.89,5
2024-08-06,2024-08-12,17.02,4
2024-08-13,2024-08-19,16.99,1
2024-08-20,2024-08-26,17.06,2
2024-08-27,2024-09-02,17.19,3
2024-09-03,2024-09-09,16.87,4
2024-09-10,2024-09-16,16.59,4
2024-09-17,2024-09-23,16.36,9
2024-09-24,2024-09-30,16.32,1
2024-10-01,2024-10-07,15.99,5
2024-10-08,2024-10-14,15.79,8
2024-10-15,2024-10-21,15.73,5
2024-10-22,2024-10-28,15.24,6
2024-10-29,2024-11-04,15.04,2
2024-11-05,2024-11-11,14.95,5
2024-11-12,2024-11-18,15.27,5
2024-11-19,2024-11-25,16.26,15
2024-11-26,2024-12-02,16.38,4
