start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,5.69,1
2023-12-12,2023-12-18,5.69,0
2023-12-19,2023-12-25,5.68,1
2023-12-26,2024-01-01,5.68,0
2024-01-02,2024-01-08,5.68,0
2024-01-09,2024-01-15,6.29,1
2024-01-16,2024-01-22,6.18,0
2024-01-23,2024-01-29,5.55,5
2024-01-30,2024-02-05,5.55,0
2024-02-06,2024-02-12,5.55,0
2024-02-13,2024-02-19,5.55,0
2024-02-20,2024-02-26,5.49,1
2024-02-27,2024-03-04,5.49,0
2024-03-05,2024-03-11,5.72,1
2024-03-12,2024-03-18,5.91,1
2024-03-19,2024-03-25,5.91,0
2024-03-26,2024-04-01,5.9,0
2024-04-02,2024-04-08,5.9,0
2024-04-09,2024-04-15,5.74,0
2024-04-16,2024-04-22,5.97,1
2024-04-23,2024-04-29,5.97,0
2024-04-30,2024-05-06,6.09,2
2024-05-07,2024-05-13,6.21,1
2024-05-14,2024-05-20,6.11,0
2024-05-21,2024-05-27,6.11,0
2024-05-28,2024-06-03,6.11,0
2024-06-04,2024-06-10,6.2,0
2024-06-11,2024-06-17,6.2,0
2024-06-18,2024-06-24,6.25,0
2024-06-25,2024-07-01,6.56,1
2024-07-02,2024-07-08,6.25,0
2024-07-09,2024-07-15,6.25,0
2024-07-16,2024-07-22,6.25,0
2024-07-23,2024-07-29,7.32,1
2024-07-30,2024-08-05,7.32,0
2024-08-06,2024-08-12,7.32,0
2024-08-13,2024-08-19,7.32,0
2024-08-20,2024-08-26,7.61,0
2024-08-27,2024-09-02,7.61,0
2024-09-03,2024-09-09,7.56,0
2024-09-10,2024-09-16,7.48,0
2024-09-17,2024-09-23,7.48,0
2024-09-24,2024-09-30,7.38,1
2024-10-01,2024-10-07,7.38,0
2024-10-08,2024-10-14,7.38,0
2024-10-15,2024-10-21,7.7,0
2024-10-22,2024-10-28,7.7,0
2024-10-29,2024-11-04,8.18,0
2024-11-05,2024-11-11,8.92,0
2024-11-12,2024-11-18,8.92,0
2024-11-19,2024-11-25,8.54,3
2024-11-26,2024-12-02,8.54,0
