start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,41.53,0
2023-12-12,2023-12-18,24.61,6
2023-12-19,2023-12-25,24.01,6
2023-12-26,2024-01-01,23.76,6
2024-01-02,2024-01-08,22.64,6
2024-01-09,2024-01-15,22.58,7
2024-01-16,2024-01-22,21.73,7
2024-01-23,2024-01-29,21.56,5
2024-01-30,2024-02-05,22.21,7
2024-02-06,2024-02-12,22.26,7
2024-02-13,2024-02-19,22.43,2
2024-02-20,2024-02-26,23.08,10
2024-02-27,2024-03-04,24.61,9
2024-03-05,2024-03-11,25.07,6
2024-03-12,2024-03-18,24.75,8
2024-03-19,2024-03-25,24.49,2
2024-03-26,2024-04-01,23.55,5
2024-04-02,2024-04-08,23.03,5
2024-04-09,2024-04-15,22.97,5
2024-04-16,2024-04-22,23.12,6
2024-04-23,2024-04-29,23.37,5
2024-04-30,2024-05-06,25.41,13
2024-05-07,2024-05-13,26.81,18
2024-05-14,2024-05-20,26.55,7
2024-05-21,2024-05-27,27.68,8
2024-05-28,2024-06-03,28.65,6
2024-06-04,2024-06-10,27.15,5
2024-06-11,2024-06-17,27.14,6
2024-06-18,2024-06-24,27.45,3
2024-06-25,2024-07-01,27.23,6
2024-07-02,2024-07-08,25.37,4
2024-07-09,2024-07-15,24.25,7
2024-07-16,2024-07-22,23.45,8
2024-07-23,2024-07-29,25.79,20
2024-07-30,2024-08-05,26.5,13
2024-08-06,2024-08-12,26.04,6
2024-08-13,2024-08-19,29.12,24
2024-08-20,2024-08-26,29.89,3
2024-08-27,2024-09-02,30.96,12
2024-09-03,2024-09-09,31.45,4
2024-09-10,2024-09-16,31.97,3
2024-09-17,2024-09-23,30.55,7
2024-09-24,2024-09-30,30.81,3
2024-10-01,2024-10-07,31.73,10
2024-10-08,2024-10-14,31.02,5
2024-10-15,2024-10-21,30.57,4
2024-10-22,2024-10-28,29.67,5
2024-10-29,2024-11-04,29.39,6
2024-11-05,2024-11-11,28.65,5
2024-11-12,2024-11-18,30.8,6
2024-11-19,2024-11-25,38.09,20
2024-11-26,2024-12-02,41.53,5
