start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.45,49
2023-12-10,2023-12-16,5.69,19
2023-12-12,2023-12-18,5.69,6
2023-12-26,2024-01-01,4.15,27
2024-01-02,2024-01-08,4.16,26
2024-01-09,2024-01-15,3.76,30
2024-01-16,2024-01-22,3.74,16
2024-01-23,2024-01-29,3.97,22
2024-01-30,2024-02-05,3.88,24
2024-02-06,2024-02-12,3.56,21
2024-02-13,2024-02-19,3.56,19
2024-02-20,2024-02-26,3.99,30
2024-02-27,2024-03-04,4.06,15
2024-03-05,2024-03-11,4.38,17
2024-03-12,2024-03-18,4.51,23
2024-03-19,2024-03-25,4.14,23
2024-03-26,2024-04-01,4.55,17
2024-04-02,2024-04-08,4.48,22
2024-04-09,2024-04-15,4.13,24
2024-04-16,2024-04-22,4.58,24
2024-04-23,2024-04-29,4.35,19
2024-04-30,2024-05-06,4.17,14
2024-05-07,2024-05-13,4.9,32
2024-05-14,2024-05-20,5.38,23
2024-05-21,2024-05-27,5.23,23
2024-05-28,2024-06-03,4.64,22
2024-06-04,2024-06-10,4.59,24
2024-06-11,2024-06-17,4.05,18
2024-06-18,2024-06-24,3.84,26
2024-06-25,2024-07-01,3.94,24
2024-07-02,2024-07-08,4.19,22
2024-07-09,2024-07-15,4.8,20
2024-07-16,2024-07-22,4.5,12
2024-07-23,2024-07-29,4.02,16
2024-07-30,2024-08-05,4.05,15
2024-08-06,2024-08-12,4.56,23
2024-08-13,2024-08-19,4.61,16
2024-08-20,2024-08-26,4.39,16
2024-08-27,2024-09-02,4.78,25
2024-09-03,2024-09-09,4.67,15
2024-09-10,2024-09-16,4.55,14
2024-09-17,2024-09-23,4.48,20
2024-09-24,2024-09-30,4.9,21
2024-10-01,2024-10-07,4.76,13
2024-10-08,2024-10-14,4.45,20
2024-10-15,2024-10-21,4.33,23
2024-10-22,2024-10-28,4.52,20
2024-10-29,2024-11-04,4.13,29
2024-11-05,2024-11-11,4.37,20
2024-11-12,2024-11-18,4.71,20
2024-11-19,2024-11-25,4.9,36
2024-11-26,2024-12-02,4.5,26
