start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,8.65,102
2023-12-10,2023-12-16,5.92,35
2023-12-12,2023-12-18,5.92,7
2023-12-26,2024-01-01,1.36,148
2024-01-02,2024-01-08,1.63,152
2024-01-09,2024-01-15,1.16,120
2024-01-16,2024-01-22,1.6,128
2024-01-23,2024-01-29,2.9,126
2024-01-30,2024-02-05,3.12,120
2024-02-06,2024-02-12,2.72,133
2024-02-13,2024-02-19,3.01,82
2024-02-20,2024-02-26,3.0,146
2024-02-27,2024-03-04,3.32,116
2024-03-05,2024-03-11,3.83,108
2024-03-12,2024-03-18,3.14,169
2024-03-19,2024-03-25,3.29,158
2024-03-26,2024-04-01,3.45,161
2024-04-02,2024-04-08,4.96,153
2024-04-09,2024-04-15,5.49,150
2024-04-16,2024-04-22,4.35,164
2024-04-23,2024-04-29,4.45,124
2024-04-30,2024-05-06,4.11,88
2024-05-07,2024-05-13,3.77,90
2024-05-14,2024-05-20,3.64,100
2024-05-21,2024-05-27,5.82,154
2024-05-28,2024-06-03,7.51,159
2024-06-04,2024-06-10,5.24,146
2024-06-11,2024-06-17,6.43,162
2024-06-18,2024-06-24,5.38,141
2024-06-25,2024-07-01,4.99,171
2024-07-02,2024-07-08,5.51,159
2024-07-09,2024-07-15,7.52,144
2024-07-16,2024-07-22,8.51,92
2024-07-23,2024-07-29,5.07,77
2024-07-30,2024-08-05,6.1,158
2024-08-06,2024-08-12,5.51,135
2024-08-13,2024-08-19,6.73,164
2024-08-20,2024-08-26,8.29,107
2024-08-27,2024-09-02,7.91,96
2024-09-03,2024-09-09,5.8,96
2024-09-10,2024-09-16,10.13,98
2024-09-17,2024-09-23,8.26,96
2024-09-24,2024-09-30,8.68,132
2024-10-01,2024-10-07,7.86,98
2024-10-08,2024-10-14,9.18,96
2024-10-15,2024-10-21,6.58,108
2024-10-22,2024-10-28,7.31,96
2024-10-29,2024-11-04,6.4,92
2024-11-05,2024-11-11,8.63,89
2024-11-12,2024-11-18,8.14,79
2024-11-19,2024-11-25,9.28,111
2024-11-26,2024-12-02,8.83,72
