start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,11.66,14
2023-12-10,2023-12-16,11.09,10
2023-12-12,2023-12-18,11.09,2
2023-12-26,2024-01-01,0.0,0
2024-01-02,2024-01-08,0.0,0
2024-01-09,2024-01-15,0.0,0
2024-01-16,2024-01-22,9.09,39
2024-01-23,2024-01-29,11.59,73
2024-01-30,2024-02-05,12.07,37
2024-02-06,2024-02-12,10.52,47
2024-02-13,2024-02-19,10.69,35
2024-02-20,2024-02-26,11.08,66
2024-02-27,2024-03-04,11.84,45
2024-03-05,2024-03-11,11.97,40
2024-03-12,2024-03-18,11.73,40
2024-03-19,2024-03-25,12.21,47
2024-03-26,2024-04-01,11.69,35
2024-04-02,2024-04-08,12.41,36
2024-04-09,2024-04-15,12.64,39
2024-04-16,2024-04-22,12.5,26
2024-04-23,2024-04-29,12.33,31
2024-04-30,2024-05-06,11.9,25
2024-05-07,2024-05-13,12.53,45
2024-05-14,2024-05-20,12.29,26
2024-05-21,2024-05-27,12.74,26
2024-05-28,2024-06-03,12.15,29
2024-06-04,2024-06-10,11.86,22
2024-06-11,2024-06-17,10.94,19
2024-06-18,2024-06-24,10.63,21
2024-06-25,2024-07-01,11.4,25
2024-07-02,2024-07-08,10.84,24
2024-07-09,2024-07-15,10.71,28
2024-07-16,2024-07-22,11.48,23
2024-07-23,2024-07-29,11.58,11
2024-07-30,2024-08-05,11.33,21
2024-08-06,2024-08-12,11.14,22
2024-08-13,2024-08-19,11.72,17
2024-08-20,2024-08-26,11.64,14
2024-08-27,2024-09-02,11.64,21
2024-09-03,2024-09-09,10.69,18
2024-09-10,2024-09-16,11.32,22
2024-09-17,2024-09-23,10.63,40
2024-09-24,2024-09-30,10.31,15
2024-10-01,2024-10-07,10.12,22
2024-10-08,2024-10-14,10.09,19
2024-10-15,2024-10-21,10.82,30
2024-10-22,2024-10-28,10.81,16
2024-10-29,2024-11-04,10.75,16
2024-11-05,2024-11-11,10.27,24
2024-11-12,2024-11-18,10.65,13
2024-11-19,2024-11-25,10.69,40
2024-11-26,2024-12-02,10.97,20
