start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,17.59,147
2023-12-10,2023-12-16,17.76,33
2023-12-12,2023-12-18,17.76,10
2023-12-26,2024-01-01,4.28,268
2024-01-02,2024-01-08,4.03,204
2024-01-09,2024-01-15,3.56,245
2024-01-16,2024-01-22,4.07,342
2024-01-23,2024-01-29,5.06,467
2024-01-30,2024-02-05,4.65,269
2024-02-06,2024-02-12,4.65,295
2024-02-13,2024-02-19,4.85,327
2024-02-20,2024-02-26,5.05,233
2024-02-27,2024-03-04,5.21,203
2024-03-05,2024-03-11,5.2,179
2024-03-12,2024-03-18,4.95,167
2024-03-19,2024-03-25,5.17,243
2024-03-26,2024-04-01,5.13,177
2024-04-02,2024-04-08,4.91,161
2024-04-09,2024-04-15,4.73,314
2024-04-16,2024-04-22,4.78,205
2024-04-23,2024-04-29,4.81,226
2024-04-30,2024-05-06,4.63,176
2024-05-07,2024-05-13,4.98,339
2024-05-14,2024-05-20,5.1,131
2024-05-21,2024-05-27,5.15,241
2024-05-28,2024-06-03,5.23,202
2024-06-04,2024-06-10,5.2,206
2024-06-11,2024-06-17,5.33,126
2024-06-18,2024-06-24,5.05,141
2024-06-25,2024-07-01,5.37,193
2024-07-02,2024-07-08,5.31,189
2024-07-09,2024-07-15,4.85,187
2024-07-16,2024-07-22,5.56,126
2024-07-23,2024-07-29,5.52,133
2024-07-30,2024-08-05,5.17,119
2024-08-06,2024-08-12,5.63,145
2024-08-13,2024-08-19,5.62,178
2024-08-20,2024-08-26,6.17,187
2024-08-27,2024-09-02,6.42,211
2024-09-03,2024-09-09,6.33,149
2024-09-10,2024-09-16,6.21,136
2024-09-17,2024-09-23,7.09,115
2024-09-24,2024-09-30,7.13,89
2024-10-01,2024-10-07,7.36,128
2024-10-08,2024-10-14,8.45,163
2024-10-15,2024-10-21,9.65,221
2024-10-22,2024-10-28,11.5,298
2024-10-29,2024-11-04,13.9,132
2024-11-05,2024-11-11,14.1,311
2024-11-12,2024-11-18,13.76,155
2024-11-19,2024-11-25,15.77,265
2024-11-26,2024-12-02,14.94,173
