start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,6.66,5
2023-12-10,2023-12-16,6.62,3
2023-12-19,2023-12-25,5.97,17
2023-12-26,2024-01-01,5.6,17
2024-01-02,2024-01-08,5.83,12
2024-01-09,2024-01-15,5.82,10
2024-01-16,2024-01-22,5.9,18
2024-01-23,2024-01-29,6.15,9
2024-01-30,2024-02-05,6.83,15
2024-02-06,2024-02-12,7.1,7
2024-02-13,2024-02-19,7.2,7
2024-02-20,2024-02-26,7.18,5
2024-02-27,2024-03-04,7.2,3
2024-03-05,2024-03-11,7.28,4
2024-03-12,2024-03-18,7.25,3
2024-03-19,2024-03-25,7.25,12
2024-03-26,2024-04-01,6.87,4
2024-04-02,2024-04-08,6.54,11
2024-04-09,2024-04-15,6.36,5
2024-04-16,2024-04-22,6.03,14
2024-04-23,2024-04-29,5.94,7
2024-04-30,2024-05-06,5.91,8
2024-05-07,2024-05-13,6.12,18
2024-05-14,2024-05-20,6.09,9
2024-05-21,2024-05-27,6.23,11
2024-05-28,2024-06-03,6.32,13
2024-06-04,2024-06-10,6.4,15
2024-06-11,2024-06-17,6.32,14
2024-06-18,2024-06-24,6.25,6
2024-06-25,2024-07-01,6.22,5
2024-07-02,2024-07-08,6.46,6
2024-07-09,2024-07-15,6.34,10
2024-07-16,2024-07-22,6.4,8
2024-07-23,2024-07-29,6.04,8
2024-07-30,2024-08-05,6.19,12
2024-08-06,2024-08-12,6.13,9
2024-08-13,2024-08-19,6.19,4
2024-08-20,2024-08-26,6.38,25
2024-08-27,2024-09-02,6.37,13
2024-09-03,2024-09-09,6.37,9
2024-09-10,2024-09-16,6.91,15
2024-09-17,2024-09-23,7.22,12
2024-09-24,2024-09-30,6.88,12
2024-10-01,2024-10-07,7.03,5
2024-10-08,2024-10-14,6.6,4
2024-10-15,2024-10-21,6.27,7
2024-10-22,2024-10-28,5.34,20
2024-10-29,2024-11-04,5.64,13
2024-11-05,2024-11-11,6.0,7
2024-11-12,2024-11-18,6.28,5
2024-11-19,2024-11-25,6.8,16
2024-11-26,2024-12-02,6.86,8
