start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.82,22
2023-12-10,2023-12-16,6.3,10
2023-12-12,2023-12-18,6.3,1
2023-12-26,2024-01-01,4.92,43
2024-01-02,2024-01-08,4.58,24
2024-01-09,2024-01-15,4.74,36
2024-01-16,2024-01-22,4.34,44
2024-01-23,2024-01-29,4.46,32
2024-01-30,2024-02-05,4.73,26
2024-02-06,2024-02-12,5.03,31
2024-02-13,2024-02-19,5.48,18
2024-02-20,2024-02-26,5.4,32
2024-02-27,2024-03-04,5.14,26
2024-03-05,2024-03-11,5.29,18
2024-03-12,2024-03-18,5.68,21
2024-03-19,2024-03-25,5.21,25
2024-03-26,2024-04-01,5.54,34
2024-04-02,2024-04-08,5.17,28
2024-04-09,2024-04-15,4.54,29
2024-04-16,2024-04-22,5.22,36
2024-04-23,2024-04-29,5.26,36
2024-04-30,2024-05-06,5.21,31
2024-05-07,2024-05-13,5.52,42
2024-05-14,2024-05-20,5.16,32
2024-05-21,2024-05-27,5.2,28
2024-05-28,2024-06-03,5.45,41
2024-06-04,2024-06-10,5.25,22
2024-06-11,2024-06-17,5.34,27
2024-06-18,2024-06-24,5.36,26
2024-06-25,2024-07-01,5.33,18
2024-07-02,2024-07-08,5.24,21
2024-07-09,2024-07-15,4.99,20
2024-07-16,2024-07-22,5.76,27
2024-07-23,2024-07-29,5.1,21
2024-07-30,2024-08-05,5.06,16
2024-08-06,2024-08-12,5.26,29
2024-08-13,2024-08-19,5.7,28
2024-08-20,2024-08-26,5.91,23
2024-08-27,2024-09-02,5.16,21
2024-09-03,2024-09-09,5.93,29
2024-09-10,2024-09-16,5.4,27
2024-09-17,2024-09-23,6.09,17
2024-09-24,2024-09-30,5.0,25
2024-10-01,2024-10-07,5.64,18
2024-10-08,2024-10-14,5.09,24
2024-10-15,2024-10-21,5.27,28
2024-10-22,2024-10-28,5.76,23
2024-10-29,2024-11-04,5.81,16
2024-11-05,2024-11-11,5.76,21
2024-11-12,2024-11-18,5.49,22
2024-11-19,2024-11-25,5.74,42
2024-11-26,2024-12-02,5.65,34
