start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.45,266
2023-12-10,2023-12-16,5.17,77
2023-12-12,2023-12-18,5.17,17
2023-12-26,2024-01-01,3.96,227
2024-01-02,2024-01-08,4.42,224
2024-01-09,2024-01-15,4.35,200
2024-01-16,2024-01-22,4.21,242
2024-01-23,2024-01-29,4.33,253
2024-01-30,2024-02-05,4.66,201
2024-02-06,2024-02-12,4.63,205
2024-02-13,2024-02-19,4.71,237
2024-02-20,2024-02-26,4.71,200
2024-02-27,2024-03-04,4.82,208
2024-03-05,2024-03-11,4.66,213
2024-03-12,2024-03-18,6.26,188
2024-03-19,2024-03-25,5.5,224
2024-03-26,2024-04-01,5.66,194
2024-04-02,2024-04-08,5.3,264
2024-04-09,2024-04-15,5.57,212
2024-04-16,2024-04-22,5.27,206
2024-04-23,2024-04-29,6.11,181
2024-04-30,2024-05-06,4.82,157
2024-05-07,2024-05-13,4.72,200
2024-05-14,2024-05-20,4.73,175
2024-05-21,2024-05-27,4.28,222
2024-05-28,2024-06-03,4.66,195
2024-06-04,2024-06-10,5.3,161
2024-06-11,2024-06-17,4.58,176
2024-06-18,2024-06-24,4.35,169
2024-06-25,2024-07-01,4.72,189
2024-07-02,2024-07-08,4.6,225
2024-07-09,2024-07-15,4.29,165
2024-07-16,2024-07-22,4.23,203
2024-07-23,2024-07-29,4.38,172
2024-07-30,2024-08-05,4.59,352
2024-08-06,2024-08-12,5.29,181
2024-08-13,2024-08-19,5.39,193
2024-08-20,2024-08-26,5.26,230
2024-08-27,2024-09-02,4.09,249
2024-09-03,2024-09-09,4.49,297
2024-09-10,2024-09-16,4.63,274
2024-09-17,2024-09-23,4.18,233
2024-09-24,2024-09-30,4.55,157
2024-10-01,2024-10-07,4.13,224
2024-10-08,2024-10-14,3.81,255
2024-10-15,2024-10-21,3.69,387
2024-10-22,2024-10-28,3.71,265
2024-10-29,2024-11-04,4.03,257
2024-11-05,2024-11-11,4.29,316
2024-11-12,2024-11-18,4.46,405
2024-11-19,2024-11-25,4.96,494
2024-11-26,2024-12-02,4.92,384
