start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.53,39
2023-12-10,2023-12-16,5.42,18
2023-12-12,2023-12-18,5.42,3
2023-12-26,2024-01-01,5.83,45
2024-01-02,2024-01-08,5.88,33
2024-01-09,2024-01-15,6.02,58
2024-01-16,2024-01-22,6.11,81
2024-01-23,2024-01-29,7.2,47
2024-01-30,2024-02-05,6.14,40
2024-02-06,2024-02-12,6.87,48
2024-02-13,2024-02-19,6.7,34
2024-02-20,2024-02-26,7.03,37
2024-02-27,2024-03-04,6.41,41
2024-03-05,2024-03-11,6.39,63
2024-03-12,2024-03-18,7.03,24
2024-03-19,2024-03-25,7.24,45
2024-03-26,2024-04-01,7.97,56
2024-04-02,2024-04-08,6.63,33
2024-04-09,2024-04-15,6.85,43
2024-04-16,2024-04-22,6.17,27
2024-04-23,2024-04-29,6.75,54
2024-04-30,2024-05-06,7.73,55
2024-05-07,2024-05-13,7.28,81
2024-05-14,2024-05-20,8.19,54
2024-05-21,2024-05-27,7.93,55
2024-05-28,2024-06-03,9.87,46
2024-06-04,2024-06-10,8.62,39
2024-06-11,2024-06-17,8.48,36
2024-06-18,2024-06-24,8.3,30
2024-06-25,2024-07-01,9.02,40
2024-07-02,2024-07-08,7.36,39
2024-07-09,2024-07-15,6.99,33
2024-07-16,2024-07-22,6.76,20
2024-07-23,2024-07-29,6.83,37
2024-07-30,2024-08-05,6.59,31
2024-08-06,2024-08-12,6.49,38
2024-08-13,2024-08-19,7.1,31
2024-08-20,2024-08-26,7.51,37
2024-08-27,2024-09-02,7.41,62
2024-09-03,2024-09-09,5.25,44
2024-09-10,2024-09-16,5.53,50
2024-09-17,2024-09-23,6.0,37
2024-09-24,2024-09-30,5.52,44
2024-10-01,2024-10-07,4.98,47
2024-10-08,2024-10-14,5.98,65
2024-10-15,2024-10-21,6.27,44
2024-10-22,2024-10-28,5.73,61
2024-10-29,2024-11-04,5.75,55
2024-11-05,2024-11-11,6.48,41
2024-11-12,2024-11-18,6.49,41
2024-11-19,2024-11-25,6.16,94
2024-11-26,2024-12-02,5.8,59
