start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,6.07,24
2023-12-10,2023-12-16,5.97,5
2023-12-19,2023-12-25,5.33,28
2023-12-26,2024-01-01,5.05,18
2024-01-02,2024-01-08,4.79,15
2024-01-09,2024-01-15,4.37,16
2024-01-16,2024-01-22,4.29,17
2024-01-23,2024-01-29,4.42,30
2024-01-30,2024-02-05,4.33,21
2024-02-06,2024-02-12,4.4,13
2024-02-13,2024-02-19,4.58,27
2024-02-20,2024-02-26,4.63,17
2024-02-27,2024-03-04,4.7,20
2024-03-05,2024-03-11,5.0,19
2024-03-12,2024-03-18,4.98,12
2024-03-19,2024-03-25,4.33,19
2024-03-26,2024-04-01,4.29,16
2024-04-02,2024-04-08,3.95,21
2024-04-09,2024-04-15,4.21,45
2024-04-16,2024-04-22,4.22,25
2024-04-23,2024-04-29,4.14,13
2024-04-30,2024-05-06,4.03,19
2024-05-07,2024-05-13,4.17,47
2024-05-14,2024-05-20,4.26,16
2024-05-21,2024-05-27,4.47,33
2024-05-28,2024-06-03,5.21,23
2024-06-04,2024-06-10,4.78,26
2024-06-11,2024-06-17,4.44,13
2024-06-18,2024-06-24,4.24,7
2024-06-25,2024-07-01,4.18,26
2024-07-02,2024-07-08,4.48,10
2024-07-09,2024-07-15,4.69,12
2024-07-16,2024-07-22,4.8,24
2024-07-23,2024-07-29,4.8,19
2024-07-30,2024-08-05,4.4,16
2024-08-06,2024-08-12,4.37,25
2024-08-13,2024-08-19,4.4,19
2024-08-20,2024-08-26,4.52,15
2024-08-27,2024-09-02,4.62,13
2024-09-03,2024-09-09,4.9,26
2024-09-10,2024-09-16,4.34,14
2024-09-17,2024-09-23,4.1,21
2024-09-24,2024-09-30,4.41,32
2024-10-01,2024-10-07,4.91,14
2024-10-08,2024-10-14,4.3,32
2024-10-15,2024-10-21,4.98,41
2024-10-22,2024-10-28,5.21,10
2024-10-29,2024-11-04,4.92,14
2024-11-05,2024-11-11,5.11,19
2024-11-12,2024-11-18,5.32,24
2024-11-19,2024-11-25,5.41,58
2024-11-26,2024-12-02,6.08,28
