start_date,end_date,price,quantity_sold
2023-12-12,2023-12-18,8.1,15
2023-12-19,2023-12-25,7.08,25
2023-12-26,2024-01-01,6.82,34
2024-01-02,2024-01-08,7.89,18
2024-01-09,2024-01-15,8.08,17
2024-01-16,2024-01-22,7.69,13
2024-01-23,2024-01-29,7.49,15
2024-01-30,2024-02-05,7.43,21
2024-02-06,2024-02-12,7.46,19
2024-02-13,2024-02-19,7.42,9
2024-02-20,2024-02-26,7.25,18
2024-02-27,2024-03-04,6.86,12
2024-03-05,2024-03-11,6.07,18
2024-03-12,2024-03-18,6.19,15
2024-03-19,2024-03-25,6.09,19
2024-03-26,2024-04-01,6.25,19
2024-04-02,2024-04-08,7.42,17
2024-04-09,2024-04-15,7.84,14
2024-04-16,2024-04-22,7.38,17
2024-04-23,2024-04-29,7.15,13
2024-04-30,2024-05-06,7.13,17
2024-05-07,2024-05-13,7.43,46
2024-05-14,2024-05-20,8.17,30
2024-05-21,2024-05-27,8.18,9
2024-05-28,2024-06-03,8.12,13
2024-06-04,2024-06-10,7.91,13
2024-06-11,2024-06-17,7.82,12
2024-06-18,2024-06-24,7.86,10
2024-06-25,2024-07-01,7.84,10
2024-07-02,2024-07-08,7.62,10
2024-07-09,2024-07-15,7.19,13
2024-07-16,2024-07-22,6.92,9
2024-07-23,2024-07-29,6.54,13
2024-07-30,2024-08-05,6.57,18
2024-08-06,2024-08-12,6.88,15
2024-08-13,2024-08-19,6.68,9
2024-08-20,2024-08-26,6.08,20
2024-08-27,2024-09-02,6.01,9
2024-09-03,2024-09-09,5.97,18
2024-09-10,2024-09-16,5.97,11
2024-09-17,2024-09-23,6.02,20
2024-09-24,2024-09-30,5.94,16
2024-10-01,2024-10-07,6.05,7
2024-10-08,2024-10-14,6.24,9
2024-10-15,2024-10-21,6.09,23
2024-10-22,2024-10-28,6.24,26
2024-10-29,2024-11-04,6.03,19
2024-11-05,2024-11-11,6.32,15
2024-11-12,2024-11-18,6.46,16
2024-11-19,2024-11-25,6.27,57
2024-11-26,2024-12-02,6.66,21
2024-11-30,2024-12-06,6.66,3
