start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,27.01,3
2023-12-12,2023-12-18,27.19,4
2023-12-19,2023-12-25,27.46,7
2023-12-26,2024-01-01,27.44,3
2024-01-02,2024-01-08,28.46,8
2024-01-09,2024-01-15,29.04,4
2024-01-16,2024-01-22,29.45,5
2024-01-23,2024-01-29,29.45,0
2024-01-30,2024-02-05,29.02,4
2024-02-06,2024-02-12,29.76,7
2024-02-13,2024-02-19,30.15,4
2024-02-20,2024-02-26,29.86,8
2024-02-27,2024-03-04,30.29,4
2024-03-05,2024-03-11,30.26,7
2024-03-12,2024-03-18,30.12,1
2024-03-19,2024-03-25,29.95,5
2024-03-26,2024-04-01,29.92,5
2024-04-02,2024-04-08,29.47,4
2024-04-09,2024-04-15,28.36,7
2024-04-16,2024-04-22,27.9,5
2024-04-23,2024-04-29,27.63,6
2024-04-30,2024-05-06,28.73,10
2024-05-07,2024-05-13,30.03,12
2024-05-14,2024-05-20,30.0,6
2024-05-21,2024-05-27,31.3,30
2024-05-28,2024-06-03,33.68,10
2024-06-04,2024-06-10,34.35,6
2024-06-11,2024-06-17,33.91,1
2024-06-18,2024-06-24,33.38,4
2024-06-25,2024-07-01,33.34,5
2024-07-02,2024-07-08,31.92,7
2024-07-09,2024-07-15,32.01,1
2024-07-16,2024-07-22,31.53,0
2024-07-23,2024-07-29,29.09,6
2024-07-30,2024-08-05,28.44,3
2024-08-06,2024-08-12,28.46,1
2024-08-13,2024-08-19,27.77,7
2024-08-20,2024-08-26,26.51,6
2024-08-27,2024-09-02,25.71,2
2024-09-03,2024-09-09,26.18,3
2024-09-10,2024-09-16,25.69,4
2024-09-17,2024-09-23,25.9,8
2024-09-24,2024-09-30,26.2,5
2024-10-01,2024-10-07,26.18,2
2024-10-08,2024-10-14,26.09,4
2024-10-15,2024-10-21,25.43,7
2024-10-22,2024-10-28,25.47,7
2024-10-29,2024-11-04,25.0,9
2024-11-05,2024-11-11,25.72,7
2024-11-12,2024-11-18,26.37,6
2024-11-19,2024-11-25,27.0,16
2024-11-26,2024-12-02,27.15,7
