start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,8.49,4
2023-12-12,2023-12-18,8.5,3
2023-12-19,2023-12-25,8.37,5
2023-12-26,2024-01-01,8.36,2
2024-01-02,2024-01-08,8.18,18
2024-01-09,2024-01-15,8.28,6
2024-01-16,2024-01-22,8.26,3
2024-01-23,2024-01-29,8.24,4
2024-01-30,2024-02-05,8.56,3
2024-02-06,2024-02-12,10.93,27
2024-02-13,2024-02-19,16.05,7
2024-02-20,2024-02-26,19.46,3
2024-02-27,2024-03-04,19.46,0
2024-03-05,2024-03-11,19.89,1
2024-03-12,2024-03-18,20.64,2
2024-03-19,2024-03-25,22.25,3
2024-03-26,2024-04-01,24.83,6
2024-04-02,2024-04-08,24.83,0
2024-04-09,2024-04-15,25.02,1
2024-04-16,2024-04-22,25.28,3
2024-04-23,2024-04-29,25.28,0
2024-04-30,2024-05-06,20.68,11
2024-05-07,2024-05-13,21.29,2
2024-05-14,2024-05-20,20.83,1
2024-05-21,2024-05-27,20.02,28
2024-05-28,2024-06-03,19.91,1
2024-06-04,2024-06-10,19.91,3
2024-06-11,2024-06-17,20.95,7
2024-06-18,2024-06-24,20.56,2
2024-06-25,2024-07-01,19.69,10
2024-07-02,2024-07-08,19.28,6
2024-07-09,2024-07-15,18.23,5
2024-07-16,2024-07-22,18.85,6
2024-07-23,2024-07-29,18.48,5
2024-07-30,2024-08-05,17.6,5
2024-08-06,2024-08-12,17.41,1
2024-08-13,2024-08-19,16.37,4
2024-08-20,2024-08-26,16.53,3
2024-08-27,2024-09-02,16.0,3
2024-09-03,2024-09-09,15.78,3
2024-09-10,2024-09-16,14.71,6
2024-09-17,2024-09-23,14.56,2
2024-09-24,2024-09-30,14.49,3
2024-10-01,2024-10-07,14.23,5
2024-10-08,2024-10-14,14.33,6
2024-10-15,2024-10-21,14.44,5
2024-10-22,2024-10-28,14.44,3
2024-10-29,2024-11-04,14.55,3
2024-11-05,2024-11-11,14.6,5
2024-11-12,2024-11-18,14.65,3
2024-11-19,2024-11-25,14.86,10
2024-11-26,2024-12-02,14.82,6
