start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,8.91,2
2023-12-12,2023-12-18,8.87,1
2023-12-19,2023-12-25,8.83,4
2023-12-26,2024-01-01,8.7,3
2024-01-02,2024-01-08,8.73,0
2024-01-09,2024-01-15,9.07,22
2024-01-16,2024-01-22,9.04,14
2024-01-23,2024-01-29,9.15,2
2024-01-30,2024-02-05,9.13,4
2024-02-06,2024-02-12,10.61,15
2024-02-13,2024-02-19,10.78,5
2024-02-20,2024-02-26,10.8,1
2024-02-27,2024-03-04,10.9,1
2024-03-05,2024-03-11,10.9,0
2024-03-12,2024-03-18,10.9,0
2024-03-19,2024-03-25,10.9,0
2024-03-26,2024-04-01,10.9,0
2024-04-02,2024-04-08,10.96,2
2024-04-09,2024-04-15,10.75,2
2024-04-16,2024-04-22,10.75,0
2024-04-23,2024-04-29,15.38,23
2024-04-30,2024-05-06,17.39,3
2024-05-07,2024-05-13,17.6,2
2024-05-14,2024-05-20,18.02,2
2024-05-21,2024-05-27,20.49,1
2024-05-28,2024-06-03,27.44,7
2024-06-04,2024-06-10,27.44,0
2024-06-11,2024-06-17,27.44,0
2024-06-18,2024-06-24,27.13,0
2024-06-25,2024-07-01,27.22,0
2024-07-02,2024-07-08,27.87,1
2024-07-09,2024-07-15,27.87,0
2024-07-16,2024-07-22,27.08,0
2024-07-23,2024-07-29,27.42,1
2024-07-30,2024-08-05,28.31,2
2024-08-06,2024-08-12,28.31,0
2024-08-13,2024-08-19,27.91,2
2024-08-20,2024-08-26,28.18,1
2024-08-27,2024-09-02,27.85,1
2024-09-03,2024-09-09,28.35,1
2024-09-10,2024-09-16,28.35,0
2024-09-17,2024-09-23,28.35,0
2024-09-24,2024-09-30,28.35,0
2024-10-01,2024-10-07,28.35,0
2024-10-08,2024-10-14,28.35,0
2024-10-15,2024-10-21,27.31,1
2024-10-22,2024-10-28,26.4,2
2024-10-29,2024-11-04,26.57,0
2024-11-05,2024-11-11,27.15,2
2024-11-12,2024-11-18,27.33,0
2024-11-19,2024-11-25,25.46,1
2024-11-26,2024-12-02,20.55,2
