start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,36.62,0
2023-12-12,2023-12-18,22.57,0
2023-12-19,2023-12-25,24.34,3
2023-12-26,2024-01-01,24.42,1
2024-01-02,2024-01-08,24.46,1
2024-01-09,2024-01-15,24.58,1
2024-01-16,2024-01-22,24.58,0
2024-01-23,2024-01-29,24.58,0
2024-01-30,2024-02-05,24.9,1
2024-02-06,2024-02-12,24.95,1
2024-02-13,2024-02-19,25.47,1
2024-02-20,2024-02-26,25.7,1
2024-02-27,2024-03-04,25.7,0
2024-03-05,2024-03-11,25.97,2
2024-03-12,2024-03-18,26.61,3
2024-03-19,2024-03-25,26.96,1
2024-03-26,2024-04-01,26.96,0
2024-04-02,2024-04-08,27.26,1
2024-04-09,2024-04-15,27.36,1
2024-04-16,2024-04-22,27.36,0
2024-04-23,2024-04-29,28.69,1
2024-04-30,2024-05-06,29.35,1
2024-05-07,2024-05-13,30.0,2
2024-05-14,2024-05-20,29.93,1
2024-05-21,2024-05-27,29.87,1
2024-05-28,2024-06-03,29.9,2
2024-06-04,2024-06-10,29.34,1
2024-06-11,2024-06-17,29.82,2
2024-06-18,2024-06-24,29.66,0
2024-06-25,2024-07-01,29.9,2
2024-07-02,2024-07-08,29.9,0
2024-07-09,2024-07-15,29.9,0
2024-07-16,2024-07-22,30.16,1
2024-07-23,2024-07-29,30.6,1
2024-07-30,2024-08-05,30.88,0
2024-08-06,2024-08-12,30.88,0
2024-08-13,2024-08-19,30.88,0
2024-08-20,2024-08-26,31.06,2
2024-08-27,2024-09-02,31.42,2
2024-09-03,2024-09-09,31.78,0
2024-09-10,2024-09-16,31.9,1
2024-09-17,2024-09-23,32.38,3
2024-09-24,2024-09-30,32.38,0
2024-10-01,2024-10-07,33.15,1
2024-10-08,2024-10-14,33.87,1
2024-10-15,2024-10-21,33.87,0
2024-10-22,2024-10-28,33.48,1
2024-10-29,2024-11-04,33.5,0
2024-11-05,2024-11-11,33.55,0
2024-11-12,2024-11-18,33.99,2
2024-11-19,2024-11-25,35.21,3
2024-11-26,2024-12-02,36.62,2
