start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,11.69,1
2023-12-12,2023-12-18,11.57,0
2023-12-19,2023-12-25,11.5,2
2023-12-26,2024-01-01,11.62,0
2024-01-02,2024-01-08,11.67,0
2024-01-09,2024-01-15,11.34,1
2024-01-16,2024-01-22,11.6,1
2024-01-23,2024-01-29,11.6,0
2024-01-30,2024-02-05,11.78,1
2024-02-06,2024-02-12,11.78,0
2024-02-13,2024-02-19,11.78,0
2024-02-20,2024-02-26,11.79,0
2024-02-27,2024-03-04,11.86,2
2024-03-05,2024-03-11,12.03,1
2024-03-12,2024-03-18,12.03,0
2024-03-19,2024-03-25,11.91,0
2024-03-26,2024-04-01,11.92,1
2024-04-02,2024-04-08,11.92,0
2024-04-09,2024-04-15,12.04,1
2024-04-16,2024-04-22,12.04,1
2024-04-23,2024-04-29,12.09,1
2024-04-30,2024-05-06,12.59,2
2024-05-07,2024-05-13,13.23,2
2024-05-14,2024-05-20,13.41,1
2024-05-21,2024-05-27,13.41,0
2024-05-28,2024-06-03,13.48,0
2024-06-04,2024-06-10,13.68,0
2024-06-11,2024-06-17,14.02,1
2024-06-18,2024-06-24,14.02,0
2024-06-25,2024-07-01,14.02,0
2024-07-02,2024-07-08,14.02,0
2024-07-09,2024-07-15,14.46,0
2024-07-16,2024-07-22,14.33,1
2024-07-23,2024-07-29,14.17,1
2024-07-30,2024-08-05,14.11,0
2024-08-06,2024-08-12,13.91,1
2024-08-13,2024-08-19,13.89,2
2024-08-20,2024-08-26,14.21,1
2024-08-27,2024-09-02,14.61,2
2024-09-03,2024-09-09,14.48,1
2024-09-10,2024-09-16,14.48,0
2024-09-17,2024-09-23,14.65,1
2024-09-24,2024-09-30,14.59,2
2024-10-01,2024-10-07,14.48,1
2024-10-08,2024-10-14,14.5,0
2024-10-15,2024-10-21,14.62,0
2024-10-22,2024-10-28,14.78,3
2024-10-29,2024-11-04,14.52,0
2024-11-05,2024-11-11,13.91,1
2024-11-12,2024-11-18,13.7,2
2024-11-19,2024-11-25,13.7,5
2024-11-26,2024-12-02,13.7,0
