start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,12.51,2
2023-12-12,2023-12-18,13.26,2
2023-12-19,2023-12-25,13.66,1
2023-12-26,2024-01-01,13.79,2
2024-01-02,2024-01-08,13.98,1
2024-01-09,2024-01-15,14.32,1
2024-01-16,2024-01-22,14.32,0
2024-01-23,2024-01-29,14.18,1
2024-01-30,2024-02-05,14.18,1
2024-02-06,2024-02-12,14.43,2
2024-02-13,2024-02-19,14.55,0
2024-02-20,2024-02-26,14.55,0
2024-02-27,2024-03-04,14.23,0
2024-03-05,2024-03-11,14.64,1
2024-03-12,2024-03-18,15.14,2
2024-03-19,2024-03-25,15.14,1
2024-03-26,2024-04-01,15.36,1
2024-04-02,2024-04-08,15.36,0
2024-04-09,2024-04-15,15.55,0
2024-04-16,2024-04-22,15.55,0
2024-04-23,2024-04-29,15.35,1
2024-04-30,2024-05-06,15.72,1
2024-05-07,2024-05-13,15.72,1
2024-05-14,2024-05-20,15.95,0
2024-05-21,2024-05-27,16.11,0
2024-05-28,2024-06-03,16.06,0
2024-06-04,2024-06-10,16.39,3
2024-06-11,2024-06-17,16.34,0
2024-06-18,2024-06-24,16.34,0
2024-06-25,2024-07-01,16.36,0
2024-07-02,2024-07-08,16.39,0
2024-07-09,2024-07-15,16.67,1
2024-07-16,2024-07-22,16.67,1
2024-07-23,2024-07-29,16.83,0
2024-07-30,2024-08-05,17.01,0
2024-08-06,2024-08-12,17.18,0
2024-08-13,2024-08-19,17.18,0
2024-08-20,2024-08-26,17.18,0
2024-08-27,2024-09-02,17.23,0
2024-09-03,2024-09-09,17.23,0
2024-09-10,2024-09-16,16.76,0
2024-09-17,2024-09-23,16.93,0
2024-09-24,2024-09-30,17.24,2
2024-10-01,2024-10-07,17.24,0
2024-10-08,2024-10-14,17.24,0
2024-10-15,2024-10-21,17.24,0
2024-10-22,2024-10-28,17.48,0
2024-10-29,2024-11-04,17.28,2
2024-11-05,2024-11-11,16.99,1
2024-11-12,2024-11-18,17.54,0
2024-11-19,2024-11-25,17.54,0
2024-11-26,2024-12-02,17.6,0
