start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,45.62,0
2023-12-12,2023-12-18,45.62,0
2023-12-19,2023-12-25,45.62,0
2023-12-26,2024-01-01,45.62,0
2024-01-02,2024-01-08,45.62,0
2024-01-09,2024-01-15,45.62,0
2024-01-16,2024-01-22,45.46,1
2024-01-23,2024-01-29,45.46,0
2024-01-30,2024-02-05,45.46,0
2024-02-06,2024-02-12,45.67,0
2024-02-13,2024-02-19,45.67,0
2024-02-20,2024-02-26,45.67,0
2024-02-27,2024-03-04,45.67,0
2024-03-05,2024-03-11,45.5,0
2024-03-12,2024-03-18,46.89,1
2024-03-19,2024-03-25,46.89,0
2024-03-26,2024-04-01,46.89,0
2024-04-02,2024-04-08,46.89,0
2024-04-09,2024-04-15,46.89,0
2024-04-16,2024-04-22,46.89,0
2024-04-23,2024-04-29,46.89,0
2024-04-30,2024-05-06,46.89,0
2024-05-07,2024-05-13,46.89,0
2024-05-14,2024-05-20,46.89,0
2024-05-21,2024-05-27,47.34,0
2024-05-28,2024-06-03,47.34,0
2024-06-04,2024-06-10,47.34,0
2024-06-11,2024-06-17,47.34,0
2024-06-18,2024-06-24,47.34,0
2024-06-25,2024-07-01,47.34,0
2024-07-02,2024-07-08,47.34,0
2024-07-09,2024-07-15,47.34,0
2024-07-16,2024-07-22,49.67,0
2024-07-23,2024-07-29,49.67,0
2024-07-30,2024-08-05,49.67,0
2024-08-06,2024-08-12,49.67,0
2024-08-13,2024-08-19,49.67,0
2024-08-20,2024-08-26,49.67,0
2024-08-27,2024-09-02,49.67,0
2024-09-03,2024-09-09,49.67,0
2024-09-10,2024-09-16,49.67,0
2024-09-17,2024-09-23,49.67,0
2024-09-24,2024-09-30,49.67,0
2024-10-01,2024-10-07,75.97,1
2024-10-08,2024-10-14,75.97,0
2024-10-15,2024-10-21,87.98,1
2024-10-22,2024-10-28,87.98,0
2024-10-29,2024-11-04,87.98,0
2024-11-05,2024-11-11,87.98,0
2024-11-12,2024-11-18,87.98,0
2024-11-19,2024-11-25,87.98,0
2024-11-26,2024-12-02,87.98,0
