start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,65.2,0
2023-12-12,2023-12-18,80.77,1
2023-12-19,2023-12-25,77.22,0
2023-12-26,2024-01-01,77.22,0
2024-01-02,2024-01-08,77.22,0
2024-01-09,2024-01-15,77.22,0
2024-01-16,2024-01-22,77.22,0
2024-01-23,2024-01-29,77.22,0
2024-01-30,2024-02-05,77.22,0
2024-02-06,2024-02-12,77.22,0
2024-02-13,2024-02-19,77.22,0
2024-02-20,2024-02-26,77.22,0
2024-02-27,2024-03-04,77.22,0
2024-03-05,2024-03-11,77.22,0
2024-03-12,2024-03-18,77.22,0
2024-03-19,2024-03-25,77.22,0
2024-03-26,2024-04-01,77.22,0
2024-04-02,2024-04-08,77.22,0
2024-04-09,2024-04-15,77.22,0
2024-04-16,2024-04-22,77.22,0
2024-04-23,2024-04-29,77.22,0
2024-04-30,2024-05-06,76.49,0
2024-05-07,2024-05-13,76.49,0
2024-05-14,2024-05-20,76.49,0
2024-05-21,2024-05-27,76.49,0
2024-05-28,2024-06-03,76.49,0
2024-06-04,2024-06-10,76.49,0
2024-06-11,2024-06-17,76.49,0
2024-06-18,2024-06-24,46.2,1
2024-06-25,2024-07-01,46.2,0
2024-07-02,2024-07-08,46.2,0
2024-07-09,2024-07-15,50.3,1
2024-07-16,2024-07-22,50.3,0
2024-07-23,2024-07-29,50.3,0
2024-07-30,2024-08-05,50.3,0
2024-08-06,2024-08-12,65.2,1
2024-08-13,2024-08-19,65.2,0
2024-08-20,2024-08-26,65.2,0
2024-08-27,2024-09-02,65.2,0
2024-09-03,2024-09-09,65.2,0
2024-09-10,2024-09-16,65.2,0
2024-09-17,2024-09-23,65.2,0
2024-09-24,2024-09-30,65.2,0
2024-10-01,2024-10-07,65.2,0
2024-10-08,2024-10-14,65.2,0
2024-10-15,2024-10-21,65.2,0
2024-10-22,2024-10-28,65.2,0
2024-10-29,2024-11-04,65.2,0
2024-11-05,2024-11-11,65.2,0
2024-11-12,2024-11-18,65.2,0
2024-11-19,2024-11-25,65.2,0
2024-11-26,2024-12-02,65.2,0
