start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,95.99,0
2023-12-12,2023-12-18,95.19,0
2023-12-19,2023-12-25,95.19,0
2023-12-26,2024-01-01,95.19,0
2024-01-02,2024-01-08,95.88,1
2024-01-09,2024-01-15,96.33,0
2024-01-16,2024-01-22,95.42,1
2024-01-23,2024-01-29,95.42,0
2024-01-30,2024-02-05,95.42,0
2024-02-06,2024-02-12,95.42,0
2024-02-13,2024-02-19,95.42,0
2024-02-20,2024-02-26,96.54,0
2024-02-27,2024-03-04,96.54,0
2024-03-05,2024-03-11,96.54,0
2024-03-12,2024-03-18,98.19,0
2024-03-19,2024-03-25,98.19,0
2024-03-26,2024-04-01,98.19,0
2024-04-02,2024-04-08,98.19,0
2024-04-09,2024-04-15,98.19,0
2024-04-16,2024-04-22,98.19,0
2024-04-23,2024-04-29,98.19,0
2024-04-30,2024-05-06,98.19,0
2024-05-07,2024-05-13,95.99,1
2024-05-14,2024-05-20,93.75,0
2024-05-21,2024-05-27,93.75,0
2024-05-28,2024-06-03,91.66,0
2024-06-04,2024-06-10,91.66,0
2024-06-11,2024-06-17,91.66,0
2024-06-18,2024-06-24,91.66,0
2024-06-25,2024-07-01,92.74,1
2024-07-02,2024-07-08,90.33,0
2024-07-09,2024-07-15,90.49,0
2024-07-16,2024-07-22,90.49,0
2024-07-23,2024-07-29,90.49,0
2024-07-30,2024-08-05,90.49,0
2024-08-06,2024-08-12,90.49,0
2024-08-13,2024-08-19,90.49,0
2024-08-20,2024-08-26,90.49,0
2024-08-27,2024-09-02,90.49,0
2024-09-03,2024-09-09,90.49,0
2024-09-10,2024-09-16,90.49,0
2024-09-17,2024-09-23,90.49,0
2024-09-24,2024-09-30,90.49,0
2024-10-01,2024-10-07,90.49,0
2024-10-08,2024-10-14,90.49,0
2024-10-15,2024-10-21,90.49,0
2024-10-22,2024-10-28,90.49,0
2024-10-29,2024-11-04,90.49,0
2024-11-05,2024-11-11,95.99,0
2024-11-12,2024-11-18,95.99,0
2024-11-19,2024-11-25,95.99,0
2024-11-26,2024-12-02,95.99,0
