start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,44.88,0
2023-12-12,2023-12-18,36.38,0
2023-12-19,2023-12-25,37.36,0
2023-12-26,2024-01-01,37.36,0
2024-01-02,2024-01-08,37.36,0
2024-01-09,2024-01-15,40.08,1
2024-01-16,2024-01-22,40.08,0
2024-01-23,2024-01-29,40.89,1
2024-01-30,2024-02-05,40.89,0
2024-02-06,2024-02-12,40.89,0
2024-02-13,2024-02-19,42.07,0
2024-02-20,2024-02-26,43.02,1
2024-02-27,2024-03-04,45.03,0
2024-03-05,2024-03-11,45.88,0
2024-03-12,2024-03-18,45.88,0
2024-03-19,2024-03-25,45.88,0
2024-03-26,2024-04-01,45.88,0
2024-04-02,2024-04-08,45.88,0
2024-04-09,2024-04-15,45.99,1
2024-04-16,2024-04-22,45.99,0
2024-04-23,2024-04-29,45.99,0
2024-04-30,2024-05-06,45.99,0
2024-05-07,2024-05-13,45.99,0
2024-05-14,2024-05-20,45.99,0
2024-05-21,2024-05-27,45.99,0
2024-05-28,2024-06-03,45.99,0
2024-06-04,2024-06-10,45.99,0
2024-06-11,2024-06-17,45.99,0
2024-06-18,2024-06-24,46.39,1
2024-06-25,2024-07-01,46.66,0
2024-07-02,2024-07-08,46.39,0
2024-07-09,2024-07-15,46.6,0
2024-07-16,2024-07-22,44.77,1
2024-07-23,2024-07-29,44.74,0
2024-07-30,2024-08-05,44.74,0
2024-08-06,2024-08-12,45.78,1
2024-08-13,2024-08-19,45.44,0
2024-08-20,2024-08-26,45.44,0
2024-08-27,2024-09-02,45.44,0
2024-09-03,2024-09-09,45.44,0
2024-09-10,2024-09-16,45.44,0
2024-09-17,2024-09-23,46.35,1
2024-09-24,2024-09-30,46.35,0
2024-10-01,2024-10-07,46.35,0
2024-10-08,2024-10-14,46.35,0
2024-10-15,2024-10-21,46.35,0
2024-10-22,2024-10-28,46.35,0
2024-10-29,2024-11-04,46.35,0
2024-11-05,2024-11-11,44.88,1
2024-11-12,2024-11-18,44.88,0
2024-11-19,2024-11-25,44.88,0
2024-11-26,2024-12-02,44.88,0
