start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,57.73,1
2023-12-12,2023-12-18,57.73,0
2023-12-19,2023-12-25,57.73,0
2023-12-26,2024-01-01,57.52,0
2024-01-02,2024-01-08,57.52,0
2024-01-09,2024-01-15,58.78,0
2024-01-16,2024-01-22,58.78,0
2024-01-23,2024-01-29,58.78,0
2024-01-30,2024-02-05,59.13,0
2024-02-06,2024-02-12,58.92,0
2024-02-13,2024-02-19,58.92,0
2024-02-20,2024-02-26,59.54,1
2024-02-27,2024-03-04,59.54,0
2024-03-05,2024-03-11,59.54,0
2024-03-12,2024-03-18,58.78,1
2024-03-19,2024-03-25,58.78,0
2024-03-26,2024-04-01,58.54,0
2024-04-02,2024-04-08,58.18,0
2024-04-09,2024-04-15,58.37,1
2024-04-16,2024-04-22,57.74,1
2024-04-23,2024-04-29,57.74,0
2024-04-30,2024-05-06,59.89,1
2024-05-07,2024-05-13,58.43,1
2024-05-14,2024-05-20,58.43,0
2024-05-21,2024-05-27,59.21,0
2024-05-28,2024-06-03,58.43,1
2024-06-04,2024-06-10,58.49,0
2024-06-11,2024-06-17,58.49,0
2024-06-18,2024-06-24,58.68,1
2024-06-25,2024-07-01,58.68,0
2024-07-02,2024-07-08,58.68,0
2024-07-09,2024-07-15,58.68,0
2024-07-16,2024-07-22,58.68,0
2024-07-23,2024-07-29,56.66,0
2024-07-30,2024-08-05,56.66,0
2024-08-06,2024-08-12,56.66,0
2024-08-13,2024-08-19,55.77,0
2024-08-20,2024-08-26,55.77,0
2024-08-27,2024-09-02,55.77,0
2024-09-03,2024-09-09,55.66,1
2024-09-10,2024-09-16,55.78,0
2024-09-17,2024-09-23,55.38,1
2024-09-24,2024-09-30,55.38,0
2024-10-01,2024-10-07,55.38,0
2024-10-08,2024-10-14,54.81,0
2024-10-15,2024-10-21,54.78,0
2024-10-22,2024-10-28,54.78,0
2024-10-29,2024-11-04,54.78,0
2024-11-05,2024-11-11,55.97,0
2024-11-12,2024-11-18,55.23,0
2024-11-19,2024-11-25,55.74,3
2024-11-26,2024-12-02,55.74,0
