start_date,end_date,price,quantity_sold
2023-12-02,2023-12-08,8.69,1
2023-12-03,2023-12-09,8.69,0
2023-12-19,2023-12-25,16.81,0
2023-12-26,2024-01-01,15.83,0
2024-01-02,2024-01-08,15.76,1
2024-01-09,2024-01-15,15.73,0
2024-01-16,2024-01-22,15.73,0
2024-01-23,2024-01-29,15.54,0
2024-01-30,2024-02-05,15.0,0
2024-02-06,2024-02-12,15.0,0
2024-02-13,2024-02-19,14.7,0
2024-02-20,2024-02-26,14.7,0
2024-02-27,2024-03-04,15.37,0
2024-03-05,2024-03-11,15.37,1
2024-03-12,2024-03-18,15.37,0
2024-03-19,2024-03-25,14.72,0
2024-03-26,2024-04-01,14.72,0
2024-04-02,2024-04-08,14.72,0
2024-04-09,2024-04-15,13.58,1
2024-04-16,2024-04-22,13.06,1
2024-04-23,2024-04-29,13.06,0
2024-04-30,2024-05-06,13.06,0
2024-05-07,2024-05-13,11.1,5
2024-05-14,2024-05-20,11.26,0
2024-05-21,2024-05-27,10.94,1
2024-05-28,2024-06-03,10.94,0
2024-06-04,2024-06-10,10.82,1
2024-06-11,2024-06-17,10.82,0
2024-06-18,2024-06-24,10.82,0
2024-06-25,2024-07-01,10.82,0
2024-07-02,2024-07-08,10.42,0
2024-07-09,2024-07-15,10.42,0
2024-07-16,2024-07-22,10.37,1
2024-07-23,2024-07-29,10.37,0
2024-07-30,2024-08-05,10.37,0
2024-08-06,2024-08-12,10.37,0
2024-08-13,2024-08-19,10.37,0
2024-08-20,2024-08-26,10.37,0
2024-08-27,2024-09-02,10.25,1
2024-09-03,2024-09-09,9.79,0
2024-09-10,2024-09-16,9.79,0
2024-09-17,2024-09-23,9.79,0
2024-09-24,2024-09-30,9.79,0
2024-10-01,2024-10-07,9.79,0
2024-10-08,2024-10-14,9.56,1
2024-10-15,2024-10-21,9.42,0
2024-10-22,2024-10-28,9.38,1
2024-10-29,2024-11-04,8.75,0
2024-11-05,2024-11-11,9.32,0
2024-11-12,2024-11-18,9.32,0
2024-11-19,2024-11-25,8.98,0
2024-11-26,2024-12-02,8.69,1
