start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,14.54,0
2023-12-12,2023-12-18,14.5,0
2023-12-19,2023-12-25,14.5,0
2023-12-26,2024-01-01,14.5,0
2024-01-02,2024-01-08,14.5,0
2024-01-09,2024-01-15,14.5,0
2024-01-16,2024-01-22,15.16,1
2024-01-23,2024-01-29,15.16,0
2024-01-30,2024-02-05,15.68,0
2024-02-06,2024-02-12,15.68,0
2024-02-13,2024-02-19,15.68,0
2024-02-20,2024-02-26,15.98,0
2024-02-27,2024-03-04,15.98,0
2024-03-05,2024-03-11,15.98,0
2024-03-12,2024-03-18,15.91,1
2024-03-19,2024-03-25,15.91,0
2024-03-26,2024-04-01,15.91,0
2024-04-02,2024-04-08,15.91,0
2024-04-09,2024-04-15,15.55,1
2024-04-16,2024-04-22,15.1,0
2024-04-23,2024-04-29,15.14,1
2024-04-30,2024-05-06,15.51,2
2024-05-07,2024-05-13,15.71,0
2024-05-14,2024-05-20,15.97,0
2024-05-21,2024-05-27,15.99,1
2024-05-28,2024-06-03,15.85,0
2024-06-04,2024-06-10,16.11,1
2024-06-11,2024-06-17,16.11,0
2024-06-18,2024-06-24,16.11,0
2024-06-25,2024-07-01,16.34,1
2024-07-02,2024-07-08,16.32,0
2024-07-09,2024-07-15,16.32,0
2024-07-16,2024-07-22,15.82,0
2024-07-23,2024-07-29,16.03,1
2024-07-30,2024-08-05,16.2,1
2024-08-06,2024-08-12,16.63,4
2024-08-13,2024-08-19,16.63,0
2024-08-20,2024-08-26,16.63,0
2024-08-27,2024-09-02,16.63,0
2024-09-03,2024-09-09,16.63,0
2024-09-10,2024-09-16,16.95,0
2024-09-17,2024-09-23,16.95,0
2024-09-24,2024-09-30,16.95,0
2024-10-01,2024-10-07,17.28,0
2024-10-08,2024-10-14,17.22,1
2024-10-15,2024-10-21,17.23,1
2024-10-22,2024-10-28,17.84,1
2024-10-29,2024-11-04,17.91,0
2024-11-05,2024-11-11,17.86,1
2024-11-12,2024-11-18,17.86,0
2024-11-19,2024-11-25,17.83,1
2024-11-26,2024-12-02,17.88,0
