start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,30.86,0
2023-12-12,2023-12-18,30.86,0
2023-12-19,2023-12-25,30.74,0
2023-12-26,2024-01-01,30.86,0
2024-01-02,2024-01-08,30.86,0
2024-01-09,2024-01-15,30.86,0
2024-01-16,2024-01-22,30.86,0
2024-01-23,2024-01-29,30.86,0
2024-01-30,2024-02-05,30.86,0
2024-02-06,2024-02-12,30.85,0
2024-02-13,2024-02-19,30.54,1
2024-02-20,2024-02-26,30.54,0
2024-02-27,2024-03-04,29.63,0
2024-03-05,2024-03-11,29.63,0
2024-03-12,2024-03-18,29.63,0
2024-03-19,2024-03-25,29.63,0
2024-03-26,2024-04-01,29.63,0
2024-04-02,2024-04-08,29.63,0
2024-04-09,2024-04-15,30.71,1
2024-04-16,2024-04-22,30.71,0
2024-04-23,2024-04-29,31.0,0
2024-04-30,2024-05-06,33.93,1
2024-05-07,2024-05-13,36.47,0
2024-05-14,2024-05-20,37.68,0
2024-05-21,2024-05-27,34.81,0
2024-05-28,2024-06-03,36.54,1
2024-06-04,2024-06-10,36.55,0
2024-06-11,2024-06-17,37.13,1
2024-06-18,2024-06-24,37.54,0
2024-06-25,2024-07-01,37.69,0
2024-07-02,2024-07-08,37.23,0
2024-07-09,2024-07-15,37.23,0
2024-07-16,2024-07-22,37.23,0
2024-07-23,2024-07-29,37.23,0
2024-07-30,2024-08-05,37.23,0
2024-08-06,2024-08-12,35.1,3
2024-08-13,2024-08-19,36.11,1
2024-08-20,2024-08-26,36.11,0
2024-08-27,2024-09-02,36.11,0
2024-09-03,2024-09-09,36.11,0
2024-09-10,2024-09-16,36.1,1
2024-09-17,2024-09-23,36.1,0
2024-09-24,2024-09-30,36.1,0
2024-10-01,2024-10-07,36.1,0
2024-10-08,2024-10-14,36.26,0
2024-10-15,2024-10-21,36.26,0
2024-10-22,2024-10-28,36.26,0
2024-10-29,2024-11-04,34.7,0
2024-11-05,2024-11-11,34.7,0
2024-11-12,2024-11-18,35.02,1
2024-11-19,2024-11-25,35.18,1
2024-11-26,2024-12-02,35.18,0
