start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,39.99,0
2023-12-12,2023-12-18,39.32,2
2023-12-19,2023-12-25,39.32,0
2023-12-26,2024-01-01,39.32,0
2024-01-02,2024-01-08,38.99,0
2024-01-09,2024-01-15,38.99,1
2024-01-16,2024-01-22,40.35,1
2024-01-23,2024-01-29,40.35,0
2024-01-30,2024-02-05,40.35,0
2024-02-06,2024-02-12,40.35,0
2024-02-13,2024-02-19,40.35,0
2024-02-20,2024-02-26,40.35,0
2024-02-27,2024-03-04,40.28,1
2024-03-05,2024-03-11,40.28,0
2024-03-12,2024-03-18,37.24,1
2024-03-19,2024-03-25,37.24,0
2024-03-26,2024-04-01,37.24,0
2024-04-02,2024-04-08,36.68,0
2024-04-09,2024-04-15,36.68,0
2024-04-16,2024-04-22,36.68,0
2024-04-23,2024-04-29,36.68,0
2024-04-30,2024-05-06,36.68,1
2024-05-07,2024-05-13,37.65,2
2024-05-14,2024-05-20,37.65,0
2024-05-21,2024-05-27,37.65,0
2024-05-28,2024-06-03,37.65,0
2024-06-04,2024-06-10,37.65,0
2024-06-11,2024-06-17,37.2,0
2024-06-18,2024-06-24,37.2,0
2024-06-25,2024-07-01,37.2,0
2024-07-02,2024-07-08,36.85,0
2024-07-09,2024-07-15,36.85,0
2024-07-16,2024-07-22,34.94,0
2024-07-23,2024-07-29,34.94,0
2024-07-30,2024-08-05,35.86,2
2024-08-06,2024-08-12,35.86,0
2024-08-13,2024-08-19,35.86,0
2024-08-20,2024-08-26,35.86,0
2024-08-27,2024-09-02,35.86,0
2024-09-03,2024-09-09,35.86,0
2024-09-10,2024-09-16,38.2,1
2024-09-17,2024-09-23,38.2,0
2024-09-24,2024-09-30,38.2,0
2024-10-01,2024-10-07,38.2,0
2024-10-08,2024-10-14,38.2,0
2024-10-15,2024-10-21,38.2,0
2024-10-22,2024-10-28,38.2,0
2024-10-29,2024-11-04,38.5,0
2024-11-05,2024-11-11,37.13,0
2024-11-12,2024-11-18,37.13,0
2024-11-19,2024-11-25,37.13,0
2024-11-26,2024-12-02,37.13,0
