start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,35.83,0
2023-12-12,2023-12-18,37.74,0
2023-12-19,2023-12-25,34.05,1
2023-12-26,2024-01-01,34.05,0
2024-01-02,2024-01-08,34.05,0
2024-01-09,2024-01-15,32.86,1
2024-01-16,2024-01-22,32.86,0
2024-01-23,2024-01-29,35.29,1
2024-01-30,2024-02-05,35.29,0
2024-02-06,2024-02-12,35.29,0
2024-02-13,2024-02-19,35.29,0
2024-02-20,2024-02-26,35.29,0
2024-02-27,2024-03-04,34.67,0
2024-03-05,2024-03-11,33.98,1
2024-03-12,2024-03-18,33.98,0
2024-03-19,2024-03-25,33.98,0
2024-03-26,2024-04-01,33.98,0
2024-04-02,2024-04-08,33.99,1
2024-04-09,2024-04-15,33.18,1
2024-04-16,2024-04-22,33.18,0
2024-04-23,2024-04-29,33.18,0
2024-04-30,2024-05-06,33.18,0
2024-05-07,2024-05-13,33.18,1
2024-05-14,2024-05-20,32.78,1
2024-05-21,2024-05-27,32.78,0
2024-05-28,2024-06-03,32.78,0
2024-06-04,2024-06-10,32.78,0
2024-06-11,2024-06-17,32.78,0
2024-06-18,2024-06-24,33.66,0
2024-06-25,2024-07-01,33.66,0
2024-07-02,2024-07-08,34.38,0
2024-07-09,2024-07-15,34.38,0
2024-07-16,2024-07-22,34.38,0
2024-07-23,2024-07-29,32.26,0
2024-07-30,2024-08-05,33.69,2
2024-08-06,2024-08-12,33.69,0
2024-08-13,2024-08-19,33.69,0
2024-08-20,2024-08-26,33.69,0
2024-08-27,2024-09-02,33.69,0
2024-09-03,2024-09-09,33.48,0
2024-09-10,2024-09-16,31.54,1
2024-09-17,2024-09-23,31.54,0
2024-09-24,2024-09-30,31.54,0
2024-10-01,2024-10-07,31.14,0
2024-10-08,2024-10-14,31.7,1
2024-10-15,2024-10-21,31.7,0
2024-10-22,2024-10-28,31.7,0
2024-10-29,2024-11-04,31.7,0
2024-11-05,2024-11-11,31.41,0
2024-11-12,2024-11-18,31.77,1
2024-11-19,2024-11-25,31.76,0
2024-11-26,2024-12-02,31.77,0
