start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,84.98,0
2023-12-12,2023-12-18,84.98,0
2023-12-19,2023-12-25,84.98,0
2023-12-26,2024-01-01,84.98,0
2024-01-02,2024-01-08,84.98,0
2024-01-09,2024-01-15,84.98,0
2024-01-16,2024-01-22,84.98,0
2024-01-23,2024-01-29,84.98,0
2024-01-30,2024-02-05,84.98,0
2024-02-06,2024-02-12,84.98,0
2024-02-13,2024-02-19,84.98,0
2024-02-20,2024-02-26,84.98,0
2024-02-27,2024-03-04,84.98,0
2024-03-05,2024-03-11,84.98,0
2024-03-12,2024-03-18,105.6,1
2024-03-19,2024-03-25,105.6,0
2024-03-26,2024-04-01,105.6,0
2024-04-02,2024-04-08,105.6,0
2024-04-09,2024-04-15,105.6,0
2024-04-16,2024-04-22,105.6,0
2024-04-23,2024-04-29,105.6,0
2024-04-30,2024-05-06,105.6,0
2024-05-07,2024-05-13,105.6,0
2024-05-14,2024-05-20,105.6,0
2024-05-21,2024-05-27,105.6,0
2024-05-28,2024-06-03,105.6,0
2024-06-04,2024-06-10,105.6,0
2024-06-11,2024-06-17,105.6,0
2024-06-18,2024-06-24,105.6,0
2024-06-25,2024-07-01,105.6,0
2024-07-02,2024-07-08,100.78,1
2024-07-09,2024-07-15,100.78,0
2024-07-16,2024-07-22,100.78,0
2024-07-23,2024-07-29,100.78,0
2024-07-30,2024-08-05,100.78,0
2024-08-06,2024-08-12,100.78,0
2024-08-13,2024-08-19,100.78,0
2024-08-20,2024-08-26,100.78,0
2024-08-27,2024-09-02,100.78,0
2024-09-03,2024-09-09,101.58,2
2024-09-10,2024-09-16,100.24,0
2024-09-17,2024-09-23,100.24,0
2024-09-24,2024-09-30,100.24,0
2024-10-01,2024-10-07,100.24,0
2024-10-08,2024-10-14,100.24,0
2024-10-15,2024-10-21,100.24,0
2024-10-22,2024-10-28,100.24,1
2024-10-29,2024-11-04,100.24,0
2024-11-05,2024-11-11,100.24,0
2024-11-12,2024-11-18,100.24,0
2024-11-19,2024-11-25,100.24,0
2024-11-26,2024-12-02,100.24,0
