start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,17.14,0
2023-12-12,2023-12-18,19.29,0
2023-12-19,2023-12-25,18.84,1
2023-12-26,2024-01-01,18.84,0
2024-01-02,2024-01-08,18.72,1
2024-01-09,2024-01-15,18.72,0
2024-01-16,2024-01-22,18.72,0
2024-01-23,2024-01-29,18.72,0
2024-01-30,2024-02-05,18.72,1
2024-02-06,2024-02-12,18.72,0
2024-02-13,2024-02-19,18.72,0
2024-02-20,2024-02-26,18.93,1
2024-02-27,2024-03-04,18.93,0
2024-03-05,2024-03-11,18.93,0
2024-03-12,2024-03-18,18.93,0
2024-03-19,2024-03-25,18.93,0
2024-03-26,2024-04-01,18.69,0
2024-04-02,2024-04-08,18.69,0
2024-04-09,2024-04-15,18.69,0
2024-04-16,2024-04-22,18.69,0
2024-04-23,2024-04-29,18.69,0
2024-04-30,2024-05-06,18.69,0
2024-05-07,2024-05-13,18.69,0
2024-05-14,2024-05-20,18.69,0
2024-05-21,2024-05-27,18.69,0
2024-05-28,2024-06-03,17.45,0
2024-06-04,2024-06-10,18.67,0
2024-06-11,2024-06-17,18.67,0
2024-06-18,2024-06-24,19.06,0
2024-06-25,2024-07-01,17.77,1
2024-07-02,2024-07-08,17.61,0
2024-07-09,2024-07-15,17.61,0
2024-07-16,2024-07-22,17.61,0
2024-07-23,2024-07-29,17.61,0
2024-07-30,2024-08-05,16.77,1
2024-08-06,2024-08-12,16.58,1
2024-08-13,2024-08-19,16.79,1
2024-08-20,2024-08-26,16.38,0
2024-08-27,2024-09-02,16.38,0
2024-09-03,2024-09-09,16.38,0
2024-09-10,2024-09-16,16.38,0
2024-09-17,2024-09-23,17.26,2
2024-09-24,2024-09-30,17.26,0
2024-10-01,2024-10-07,17.26,0
2024-10-08,2024-10-14,17.26,0
2024-10-15,2024-10-21,17.26,0
2024-10-22,2024-10-28,17.26,0
2024-10-29,2024-11-04,17.26,0
2024-11-05,2024-11-11,17.26,0
2024-11-12,2024-11-18,17.26,0
2024-11-19,2024-11-25,17.14,2
2024-11-26,2024-12-02,17.14,0
