start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,211.34,0
2023-12-12,2023-12-18,215.3,0
2023-12-19,2023-12-25,209.48,1
2023-12-26,2024-01-01,209.48,0
2024-01-02,2024-01-08,209.48,0
2024-01-09,2024-01-15,209.48,0
2024-01-16,2024-01-22,209.48,0
2024-01-23,2024-01-29,217.58,1
2024-01-30,2024-02-05,213.31,1
2024-02-06,2024-02-12,213.31,0
2024-02-13,2024-02-19,213.31,0
2024-02-20,2024-02-26,213.31,0
2024-02-27,2024-03-04,213.31,0
2024-03-05,2024-03-11,213.31,0
2024-03-12,2024-03-18,216.39,0
2024-03-19,2024-03-25,216.39,0
2024-03-26,2024-04-01,216.39,0
2024-04-02,2024-04-08,216.39,0
2024-04-09,2024-04-15,216.39,0
2024-04-16,2024-04-22,216.39,0
2024-04-23,2024-04-29,216.39,0
2024-04-30,2024-05-06,216.39,0
2024-05-07,2024-05-13,208.49,1
2024-05-14,2024-05-20,202.85,1
2024-05-21,2024-05-27,203.66,0
2024-05-28,2024-06-03,194.4,0
2024-06-04,2024-06-10,194.4,0
2024-06-11,2024-06-17,194.4,0
2024-06-18,2024-06-24,195.0,0
2024-06-25,2024-07-01,195.0,0
2024-07-02,2024-07-08,195.0,0
2024-07-09,2024-07-15,195.0,0
2024-07-16,2024-07-22,195.0,0
2024-07-23,2024-07-29,176.66,0
2024-07-30,2024-08-05,169.0,0
2024-08-06,2024-08-12,169.0,0
2024-08-13,2024-08-19,169.0,0
2024-08-20,2024-08-26,169.0,0
2024-08-27,2024-09-02,183.08,1
2024-09-03,2024-09-09,183.08,0
2024-09-10,2024-09-16,183.08,0
2024-09-17,2024-09-23,190.81,1
2024-09-24,2024-09-30,190.81,0
2024-10-01,2024-10-07,190.81,0
2024-10-08,2024-10-14,190.81,0
2024-10-15,2024-10-21,190.81,0
2024-10-22,2024-10-28,190.81,0
2024-10-29,2024-11-04,190.81,0
2024-11-05,2024-11-11,198.08,0
2024-11-12,2024-11-18,212.62,0
2024-11-19,2024-11-25,212.62,0
2024-11-26,2024-12-02,212.62,0
