start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,26.13,0
2023-12-12,2023-12-18,24.78,0
2023-12-19,2023-12-25,24.78,0
2023-12-26,2024-01-01,24.78,0
2024-01-02,2024-01-08,24.78,0
2024-01-09,2024-01-15,24.78,0
2024-01-16,2024-01-22,24.78,0
2024-01-23,2024-01-29,24.78,0
2024-01-30,2024-02-05,24.78,0
2024-02-06,2024-02-12,24.78,0
2024-02-13,2024-02-19,24.78,0
2024-02-20,2024-02-26,24.78,1
2024-02-27,2024-03-04,24.78,0
2024-03-05,2024-03-11,24.83,1
2024-03-12,2024-03-18,24.83,0
2024-03-19,2024-03-25,24.83,0
2024-03-26,2024-04-01,24.92,0
2024-04-02,2024-04-08,24.92,0
2024-04-09,2024-04-15,24.92,0
2024-04-16,2024-04-22,21.94,1
2024-04-23,2024-04-29,21.94,0
2024-04-30,2024-05-06,21.32,1
2024-05-07,2024-05-13,21.32,0
2024-05-14,2024-05-20,21.32,0
2024-05-21,2024-05-27,21.32,0
2024-05-28,2024-06-03,20.41,0
2024-06-04,2024-06-10,20.41,0
2024-06-11,2024-06-17,20.41,0
2024-06-18,2024-06-24,20.41,0
2024-06-25,2024-07-01,21.68,1
2024-07-02,2024-07-08,21.68,0
2024-07-09,2024-07-15,21.68,0
2024-07-16,2024-07-22,21.68,0
2024-07-23,2024-07-29,21.68,0
2024-07-30,2024-08-05,21.68,0
2024-08-06,2024-08-12,21.68,0
2024-08-13,2024-08-19,21.68,0
2024-08-20,2024-08-26,20.9,0
2024-08-27,2024-09-02,21.95,1
2024-09-03,2024-09-09,21.2,0
2024-09-10,2024-09-16,21.2,0
2024-09-17,2024-09-23,21.2,0
2024-09-24,2024-09-30,21.2,0
2024-10-01,2024-10-07,21.2,0
2024-10-08,2024-10-14,21.2,0
2024-10-15,2024-10-21,24.64,1
2024-10-22,2024-10-28,24.64,0
2024-10-29,2024-11-04,26.55,0
2024-11-05,2024-11-11,26.55,0
2024-11-12,2024-11-18,26.55,0
2024-11-19,2024-11-25,26.13,2
2024-11-26,2024-12-02,26.13,0
