start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,18.86,0
2023-12-12,2023-12-18,18.86,0
2023-12-19,2023-12-25,18.86,0
2023-12-26,2024-01-01,18.86,0
2024-01-02,2024-01-08,18.86,0
2024-01-09,2024-01-15,18.86,0
2024-01-16,2024-01-22,18.86,0
2024-01-23,2024-01-29,18.86,0
2024-01-30,2024-02-05,18.86,0
2024-02-06,2024-02-12,17.65,0
2024-02-13,2024-02-19,17.65,0
2024-02-20,2024-02-26,17.65,0
2024-02-27,2024-03-04,17.65,0
2024-03-05,2024-03-11,17.65,0
2024-03-12,2024-03-18,14.5,0
2024-03-19,2024-03-25,14.5,0
2024-03-26,2024-04-01,14.28,1
2024-04-02,2024-04-08,14.28,0
2024-04-09,2024-04-15,14.17,0
2024-04-16,2024-04-22,14.01,1
2024-04-23,2024-04-29,14.06,0
2024-04-30,2024-05-06,14.06,0
2024-05-07,2024-05-13,14.06,0
2024-05-14,2024-05-20,14.06,0
2024-05-21,2024-05-27,14.04,1
2024-05-28,2024-06-03,13.89,0
2024-06-04,2024-06-10,13.89,0
2024-06-11,2024-06-17,13.89,0
2024-06-18,2024-06-24,13.89,0
2024-06-25,2024-07-01,13.97,1
2024-07-02,2024-07-08,13.97,0
2024-07-09,2024-07-15,13.97,0
2024-07-16,2024-07-22,13.97,0
2024-07-23,2024-07-29,13.97,0
2024-07-30,2024-08-05,14.27,1
2024-08-06,2024-08-12,14.27,1
2024-08-13,2024-08-19,14.27,0
2024-08-20,2024-08-26,14.27,0
2024-08-27,2024-09-02,15.37,1
2024-09-03,2024-09-09,15.37,0
2024-09-10,2024-09-16,15.37,0
2024-09-17,2024-09-23,15.37,0
2024-09-24,2024-09-30,15.62,0
2024-10-01,2024-10-07,15.62,0
2024-10-08,2024-10-14,15.62,0
2024-10-15,2024-10-21,15.98,0
2024-10-22,2024-10-28,16.23,1
2024-10-29,2024-11-04,16.29,1
2024-11-05,2024-11-11,16.29,0
2024-11-12,2024-11-18,16.29,0
2024-11-19,2024-11-25,16.68,0
2024-11-26,2024-12-02,16.68,0
