start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,88.03,0
2023-12-12,2023-12-18,86.54,0
2023-12-19,2023-12-25,86.54,0
2023-12-26,2024-01-01,86.54,0
2024-01-02,2024-01-08,86.54,0
2024-01-09,2024-01-15,81.99,1
2024-01-16,2024-01-22,81.99,1
2024-01-23,2024-01-29,81.99,0
2024-01-30,2024-02-05,81.99,0
2024-02-06,2024-02-12,81.99,0
2024-02-13,2024-02-19,81.99,0
2024-02-20,2024-02-26,81.99,0
2024-02-27,2024-03-04,81.99,0
2024-03-05,2024-03-11,82.49,1
2024-03-12,2024-03-18,82.49,0
2024-03-19,2024-03-25,82.49,0
2024-03-26,2024-04-01,82.49,0
2024-04-02,2024-04-08,82.49,0
2024-04-09,2024-04-15,82.49,0
2024-04-16,2024-04-22,82.49,0
2024-04-23,2024-04-29,81.99,0
2024-04-30,2024-05-06,81.99,0
2024-05-07,2024-05-13,81.99,0
2024-05-14,2024-05-20,81.99,0
2024-05-21,2024-05-27,81.99,1
2024-05-28,2024-06-03,81.99,1
2024-06-04,2024-06-10,81.99,0
2024-06-11,2024-06-17,82.08,0
2024-06-18,2024-06-24,81.99,0
2024-06-25,2024-07-01,81.99,0
2024-07-02,2024-07-08,81.99,0
2024-07-09,2024-07-15,82.49,0
2024-07-16,2024-07-22,82.65,0
2024-07-23,2024-07-29,82.65,0
2024-07-30,2024-08-05,82.65,0
2024-08-06,2024-08-12,82.65,0
2024-08-13,2024-08-19,82.65,0
2024-08-20,2024-08-26,82.65,0
2024-08-27,2024-09-02,82.65,0
2024-09-03,2024-09-09,81.98,0
2024-09-10,2024-09-16,81.98,0
2024-09-17,2024-09-23,84.65,1
2024-09-24,2024-09-30,84.65,0
2024-10-01,2024-10-07,84.65,0
2024-10-08,2024-10-14,84.65,0
2024-10-15,2024-10-21,84.65,0
2024-10-22,2024-10-28,84.65,1
2024-10-29,2024-11-04,84.65,0
2024-11-05,2024-11-11,84.65,0
2024-11-12,2024-11-18,84.65,0
2024-11-19,2024-11-25,87.02,3
2024-11-26,2024-12-02,88.03,0
