start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,15.86,0
2023-12-12,2023-12-18,15.86,0
2023-12-19,2023-12-25,15.86,0
2023-12-26,2024-01-01,15.86,0
2024-01-02,2024-01-08,15.86,0
2024-01-09,2024-01-15,15.86,0
2024-01-16,2024-01-22,15.86,0
2024-01-23,2024-01-29,15.86,0
2024-01-30,2024-02-05,14.74,1
2024-02-06,2024-02-12,14.74,0
2024-02-13,2024-02-19,14.74,0
2024-02-20,2024-02-26,14.74,0
2024-02-27,2024-03-04,14.74,0
2024-03-05,2024-03-11,14.74,0
2024-03-12,2024-03-18,14.74,0
2024-03-19,2024-03-25,14.74,0
2024-03-26,2024-04-01,14.74,0
2024-04-02,2024-04-08,14.74,0
2024-04-09,2024-04-15,14.74,0
2024-04-16,2024-04-22,14.74,0
2024-04-23,2024-04-29,14.74,0
2024-04-30,2024-05-06,14.74,0
2024-05-07,2024-05-13,13.86,1
2024-05-14,2024-05-20,13.86,0
2024-05-21,2024-05-27,16.11,1
2024-05-28,2024-06-03,16.11,0
2024-06-04,2024-06-10,16.11,0
2024-06-11,2024-06-17,16.11,0
2024-06-18,2024-06-24,16.11,0
2024-06-25,2024-07-01,16.11,0
2024-07-02,2024-07-08,16.11,0
2024-07-09,2024-07-15,16.11,0
2024-07-16,2024-07-22,16.11,0
2024-07-23,2024-07-29,16.11,0
2024-07-30,2024-08-05,16.79,0
2024-08-06,2024-08-12,17.83,1
2024-08-13,2024-08-19,17.83,0
2024-08-20,2024-08-26,17.83,0
2024-08-27,2024-09-02,17.83,0
2024-09-03,2024-09-09,17.83,0
2024-09-10,2024-09-16,17.83,0
2024-09-17,2024-09-23,17.83,0
2024-09-24,2024-09-30,17.83,0
2024-10-01,2024-10-07,17.83,0
2024-10-08,2024-10-14,17.83,0
2024-10-15,2024-10-21,17.83,0
2024-10-22,2024-10-28,17.83,0
2024-10-29,2024-11-04,17.83,0
2024-11-05,2024-11-11,20.24,0
2024-11-12,2024-11-18,20.24,0
2024-11-19,2024-11-25,19.89,2
2024-11-26,2024-12-02,19.89,1
