start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,48.88,0
2023-12-12,2023-12-18,41.96,0
2023-12-19,2023-12-25,41.96,0
2023-12-26,2024-01-01,43.49,1
2024-01-02,2024-01-08,43.49,0
2024-01-09,2024-01-15,44.18,0
2024-01-16,2024-01-22,44.18,0
2024-01-23,2024-01-29,44.18,0
2024-01-30,2024-02-05,45.3,1
2024-02-06,2024-02-12,45.3,0
2024-02-13,2024-02-19,45.3,0
2024-02-20,2024-02-26,45.74,0
2024-02-27,2024-03-04,47.29,1
2024-03-05,2024-03-11,49.0,0
2024-03-12,2024-03-18,49.0,0
2024-03-19,2024-03-25,49.0,0
2024-03-26,2024-04-01,49.0,0
2024-04-02,2024-04-08,49.0,0
2024-04-09,2024-04-15,49.17,1
2024-04-16,2024-04-22,49.17,0
2024-04-23,2024-04-29,51.05,1
2024-04-30,2024-05-06,50.27,0
2024-05-07,2024-05-13,48.8,2
2024-05-14,2024-05-20,48.8,0
2024-05-21,2024-05-27,48.8,0
2024-05-28,2024-06-03,48.8,0
2024-06-04,2024-06-10,46.21,0
2024-06-11,2024-06-17,47.93,1
2024-06-18,2024-06-24,47.04,1
2024-06-25,2024-07-01,45.95,0
2024-07-02,2024-07-08,45.95,0
2024-07-09,2024-07-15,45.95,0
2024-07-16,2024-07-22,45.95,0
2024-07-23,2024-07-29,45.95,0
2024-07-30,2024-08-05,46.23,0
2024-08-06,2024-08-12,46.23,0
2024-08-13,2024-08-19,46.23,0
2024-08-20,2024-08-26,46.23,0
2024-08-27,2024-09-02,46.13,0
2024-09-03,2024-09-09,46.13,0
2024-09-10,2024-09-16,46.13,0
2024-09-17,2024-09-23,47.39,1
2024-09-24,2024-09-30,47.24,1
2024-10-01,2024-10-07,47.24,0
2024-10-08,2024-10-14,46.82,0
2024-10-15,2024-10-21,47.21,1
2024-10-22,2024-10-28,46.93,0
2024-10-29,2024-11-04,46.93,0
2024-11-05,2024-11-11,47.95,0
2024-11-12,2024-11-18,47.95,0
2024-11-19,2024-11-25,48.88,1
2024-11-26,2024-12-02,48.88,0
