start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,57.02,1
2023-12-12,2023-12-18,45.06,0
2023-12-19,2023-12-25,45.06,0
2023-12-26,2024-01-01,45.06,0
2024-01-02,2024-01-08,45.06,0
2024-01-09,2024-01-15,45.06,0
2024-01-16,2024-01-22,45.06,0
2024-01-23,2024-01-29,45.06,0
2024-01-30,2024-02-05,43.13,1
2024-02-06,2024-02-12,43.13,0
2024-02-13,2024-02-19,47.06,1
2024-02-20,2024-02-26,47.06,0
2024-02-27,2024-03-04,48.8,1
2024-03-05,2024-03-11,48.8,0
2024-03-12,2024-03-18,48.33,1
2024-03-19,2024-03-25,49.19,1
2024-03-26,2024-04-01,49.49,0
2024-04-02,2024-04-08,49.49,0
2024-04-09,2024-04-15,49.49,0
2024-04-16,2024-04-22,48.74,1
2024-04-23,2024-04-29,50.49,0
2024-04-30,2024-05-06,51.14,2
2024-05-07,2024-05-13,51.14,0
2024-05-14,2024-05-20,51.14,0
2024-05-21,2024-05-27,51.14,0
2024-05-28,2024-06-03,51.14,0
2024-06-04,2024-06-10,51.14,0
2024-06-11,2024-06-17,50.18,1
2024-06-18,2024-06-24,50.05,1
2024-06-25,2024-07-01,50.78,0
2024-07-02,2024-07-08,50.58,1
2024-07-09,2024-07-15,51.9,1
2024-07-16,2024-07-22,51.9,0
2024-07-23,2024-07-29,51.9,0
2024-07-30,2024-08-05,53.09,1
2024-08-06,2024-08-12,53.09,0
2024-08-13,2024-08-19,52.82,0
2024-08-20,2024-08-26,52.82,0
2024-08-27,2024-09-02,54.82,2
2024-09-03,2024-09-09,54.82,0
2024-09-10,2024-09-16,55.7,0
2024-09-17,2024-09-23,56.33,0
2024-09-24,2024-09-30,56.33,0
2024-10-01,2024-10-07,57.44,1
2024-10-08,2024-10-14,57.44,0
2024-10-15,2024-10-21,58.83,0
2024-10-22,2024-10-28,58.83,0
2024-10-29,2024-11-04,58.52,0
2024-11-05,2024-11-11,57.24,0
2024-11-12,2024-11-18,57.24,0
2024-11-19,2024-11-25,58.77,1
2024-11-26,2024-12-02,58.77,0
