start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,35.81,0
2023-12-12,2023-12-18,26.49,0
2023-12-19,2023-12-25,26.49,0
2023-12-26,2024-01-01,26.48,1
2024-01-02,2024-01-08,25.42,0
2024-01-09,2024-01-15,25.42,0
2024-01-16,2024-01-22,25.42,0
2024-01-23,2024-01-29,25.54,1
2024-01-30,2024-02-05,25.54,0
2024-02-06,2024-02-12,25.54,0
2024-02-13,2024-02-19,25.24,0
2024-02-20,2024-02-26,25.37,1
2024-02-27,2024-03-04,25.64,1
2024-03-05,2024-03-11,25.64,0
2024-03-12,2024-03-18,25.64,1
2024-03-19,2024-03-25,25.64,0
2024-03-26,2024-04-01,25.43,0
2024-04-02,2024-04-08,25.43,0
2024-04-09,2024-04-15,26.23,1
2024-04-16,2024-04-22,26.49,0
2024-04-23,2024-04-29,27.56,0
2024-04-30,2024-05-06,27.56,0
2024-05-07,2024-05-13,28.01,1
2024-05-14,2024-05-20,28.01,0
2024-05-21,2024-05-27,28.01,0
2024-05-28,2024-06-03,28.01,0
2024-06-04,2024-06-10,26.58,0
2024-06-11,2024-06-17,30.27,2
2024-06-18,2024-06-24,30.75,0
2024-06-25,2024-07-01,30.75,0
2024-07-02,2024-07-08,30.75,0
2024-07-09,2024-07-15,30.75,0
2024-07-16,2024-07-22,30.28,0
2024-07-23,2024-07-29,31.36,0
2024-07-30,2024-08-05,31.36,0
2024-08-06,2024-08-12,31.32,1
2024-08-13,2024-08-19,31.32,0
2024-08-20,2024-08-26,32.01,1
2024-08-27,2024-09-02,32.58,0
2024-09-03,2024-09-09,33.74,0
2024-09-10,2024-09-16,34.63,1
2024-09-17,2024-09-23,35.3,1
2024-09-24,2024-09-30,35.3,0
2024-10-01,2024-10-07,35.3,0
2024-10-08,2024-10-14,35.24,1
2024-10-15,2024-10-21,35.24,0
2024-10-22,2024-10-28,35.24,0
2024-10-29,2024-11-04,35.24,0
2024-11-05,2024-11-11,35.81,0
2024-11-12,2024-11-18,35.81,0
2024-11-19,2024-11-25,35.81,0
2024-11-26,2024-12-02,35.81,0
