start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,80.0,0
2023-12-12,2023-12-18,39.71,0
2023-12-19,2023-12-25,39.71,0
2023-12-26,2024-01-01,39.71,0
2024-01-02,2024-01-08,39.71,0
2024-01-09,2024-01-15,39.71,0
2024-01-16,2024-01-22,39.71,0
2024-01-23,2024-01-29,39.71,0
2024-01-30,2024-02-05,39.52,2
2024-02-06,2024-02-12,39.91,0
2024-02-13,2024-02-19,39.91,0
2024-02-20,2024-02-26,39.52,0
2024-02-27,2024-03-04,39.52,0
2024-03-05,2024-03-11,39.52,0
2024-03-12,2024-03-18,39.52,0
2024-03-19,2024-03-25,39.52,0
2024-03-26,2024-04-01,41.57,1
2024-04-02,2024-04-08,41.57,0
2024-04-09,2024-04-15,43.23,2
2024-04-16,2024-04-22,43.96,0
2024-04-23,2024-04-29,44.73,1
2024-04-30,2024-05-06,45.23,0
2024-05-07,2024-05-13,45.23,0
2024-05-14,2024-05-20,45.23,0
2024-05-21,2024-05-27,45.23,0
2024-05-28,2024-06-03,45.23,0
2024-06-04,2024-06-10,45.27,0
2024-06-11,2024-06-17,45.27,0
2024-06-18,2024-06-24,45.27,0
2024-06-25,2024-07-01,45.27,0
2024-07-02,2024-07-08,45.27,0
2024-07-09,2024-07-15,45.27,0
2024-07-16,2024-07-22,45.27,0
2024-07-23,2024-07-29,45.27,0
2024-07-30,2024-08-05,48.6,0
2024-08-06,2024-08-12,50.88,1
2024-08-13,2024-08-19,50.88,0
2024-08-20,2024-08-26,50.88,0
2024-08-27,2024-09-02,50.88,0
2024-09-03,2024-09-09,49.06,0
2024-09-10,2024-09-16,50.88,0
2024-09-17,2024-09-23,59.06,1
2024-09-24,2024-09-30,59.28,0
2024-10-01,2024-10-07,63.23,0
2024-10-08,2024-10-14,64.99,0
2024-10-15,2024-10-21,64.99,0
2024-10-22,2024-10-28,80.0,0
2024-10-29,2024-11-04,80.0,0
2024-11-05,2024-11-11,80.0,0
2024-11-12,2024-11-18,80.0,0
2024-11-19,2024-11-25,80.0,0
2024-11-26,2024-12-02,80.0,0
