start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,77.57,1
2023-12-12,2023-12-18,77.57,0
2023-12-19,2023-12-25,77.9,0
2023-12-26,2024-01-01,77.9,0
2024-01-02,2024-01-08,77.94,2
2024-01-09,2024-01-15,77.94,0
2024-01-16,2024-01-22,77.94,0
2024-01-23,2024-01-29,77.76,0
2024-01-30,2024-02-05,77.76,0
2024-02-06,2024-02-12,77.76,0
2024-02-13,2024-02-19,73.16,0
2024-02-20,2024-02-26,73.16,0
2024-02-27,2024-03-04,72.63,1
2024-03-05,2024-03-11,72.63,0
2024-03-12,2024-03-18,72.63,0
2024-03-19,2024-03-25,70.71,0
2024-03-26,2024-04-01,70.71,0
2024-04-02,2024-04-08,70.71,0
2024-04-09,2024-04-15,72.75,0
2024-04-16,2024-04-22,72.75,0
2024-04-23,2024-04-29,73.26,0
2024-04-30,2024-05-06,70.33,0
2024-05-07,2024-05-13,70.33,0
2024-05-14,2024-05-20,70.33,0
2024-05-21,2024-05-27,70.33,0
2024-05-28,2024-06-03,72.12,0
2024-06-04,2024-06-10,72.12,0
2024-06-11,2024-06-17,74.05,2
2024-06-18,2024-06-24,74.9,1
2024-06-25,2024-07-01,74.05,0
2024-07-02,2024-07-08,71.69,0
2024-07-09,2024-07-15,71.69,0
2024-07-16,2024-07-22,71.69,0
2024-07-23,2024-07-29,71.69,0
2024-07-30,2024-08-05,71.69,0
2024-08-06,2024-08-12,71.69,0
2024-08-13,2024-08-19,73.35,0
2024-08-20,2024-08-26,73.35,0
2024-08-27,2024-09-02,76.74,1
2024-09-03,2024-09-09,76.74,0
2024-09-10,2024-09-16,76.74,0
2024-09-17,2024-09-23,76.74,0
2024-09-24,2024-09-30,76.74,0
2024-10-01,2024-10-07,76.74,1
2024-10-08,2024-10-14,75.61,0
2024-10-15,2024-10-21,82.51,1
2024-10-22,2024-10-28,82.51,0
2024-10-29,2024-11-04,82.51,0
2024-11-05,2024-11-11,82.51,0
2024-11-12,2024-11-18,85.0,1
2024-11-19,2024-11-25,88.23,2
2024-11-26,2024-12-02,88.23,0
