start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,16.71,0
2023-12-12,2023-12-18,17.22,1
2023-12-19,2023-12-25,17.22,0
2023-12-26,2024-01-01,17.54,1
2024-01-02,2024-01-08,17.54,0
2024-01-09,2024-01-15,17.68,0
2024-01-16,2024-01-22,19.76,1
2024-01-23,2024-01-29,19.76,0
2024-01-30,2024-02-05,20.71,0
2024-02-06,2024-02-12,20.71,0
2024-02-13,2024-02-19,20.71,0
2024-02-20,2024-02-26,20.71,0
2024-02-27,2024-03-04,22.45,0
2024-03-05,2024-03-11,22.84,0
2024-03-12,2024-03-18,28.84,1
2024-03-19,2024-03-25,28.84,0
2024-03-26,2024-04-01,28.84,0
2024-04-02,2024-04-08,28.84,0
2024-04-09,2024-04-15,28.84,0
2024-04-16,2024-04-22,29.07,1
2024-04-23,2024-04-29,29.07,0
2024-04-30,2024-05-06,29.07,0
2024-05-07,2024-05-13,30.33,0
2024-05-14,2024-05-20,30.33,0
2024-05-21,2024-05-27,29.07,0
2024-05-28,2024-06-03,29.07,0
2024-06-04,2024-06-10,29.07,0
2024-06-11,2024-06-17,30.75,0
2024-06-18,2024-06-24,30.7,1
2024-06-25,2024-07-01,33.12,0
2024-07-02,2024-07-08,31.88,2
2024-07-09,2024-07-15,32.12,0
2024-07-16,2024-07-22,31.34,0
2024-07-23,2024-07-29,31.34,0
2024-07-30,2024-08-05,31.34,0
2024-08-06,2024-08-12,32.38,2
2024-08-13,2024-08-19,32.38,0
2024-08-20,2024-08-26,32.38,0
2024-08-27,2024-09-02,32.38,0
2024-09-03,2024-09-09,31.29,1
2024-09-10,2024-09-16,29.81,0
2024-09-17,2024-09-23,29.81,0
2024-09-24,2024-09-30,29.81,0
2024-10-01,2024-10-07,29.81,0
2024-10-08,2024-10-14,29.81,0
2024-10-15,2024-10-21,29.78,0
2024-10-22,2024-10-28,28.38,1
2024-10-29,2024-11-04,28.38,0
2024-11-05,2024-11-11,28.38,0
2024-11-12,2024-11-18,28.38,0
2024-11-19,2024-11-25,28.38,0
2024-11-26,2024-12-02,28.38,0
