start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,21.09,0
2023-12-12,2023-12-18,19.12,1
2023-12-19,2023-12-25,19.09,0
2023-12-26,2024-01-01,19.45,0
2024-01-02,2024-01-08,19.45,0
2024-01-09,2024-01-15,19.45,0
2024-01-16,2024-01-22,19.45,0
2024-01-23,2024-01-29,19.45,0
2024-01-30,2024-02-05,18.75,0
2024-02-06,2024-02-12,18.75,0
2024-02-13,2024-02-19,18.75,0
2024-02-20,2024-02-26,18.75,1
2024-02-27,2024-03-04,18.75,0
2024-03-05,2024-03-11,18.44,0
2024-03-12,2024-03-18,18.44,0
2024-03-19,2024-03-25,18.44,0
2024-03-26,2024-04-01,18.44,0
2024-04-02,2024-04-08,17.25,0
2024-04-09,2024-04-15,17.25,1
2024-04-16,2024-04-22,17.25,0
2024-04-23,2024-04-29,15.8,1
2024-04-30,2024-05-06,15.8,0
2024-05-07,2024-05-13,16.09,1
2024-05-14,2024-05-20,16.09,0
2024-05-21,2024-05-27,16.09,0
2024-05-28,2024-06-03,16.09,1
2024-06-04,2024-06-10,16.93,1
2024-06-11,2024-06-17,17.67,0
2024-06-18,2024-06-24,17.67,0
2024-06-25,2024-07-01,17.67,0
2024-07-02,2024-07-08,17.67,0
2024-07-09,2024-07-15,17.67,0
2024-07-16,2024-07-22,17.67,0
2024-07-23,2024-07-29,17.67,0
2024-07-30,2024-08-05,17.67,1
2024-08-06,2024-08-12,17.67,0
2024-08-13,2024-08-19,17.67,0
2024-08-20,2024-08-26,17.88,1
2024-08-27,2024-09-02,17.88,0
2024-09-03,2024-09-09,17.88,0
2024-09-10,2024-09-16,17.88,0
2024-09-17,2024-09-23,17.64,1
2024-09-24,2024-09-30,17.67,1
2024-10-01,2024-10-07,19.36,2
2024-10-08,2024-10-14,19.57,0
2024-10-15,2024-10-21,19.57,0
2024-10-22,2024-10-28,19.7,0
2024-10-29,2024-11-04,19.7,0
2024-11-05,2024-11-11,20.0,0
2024-11-12,2024-11-18,20.0,0
2024-11-19,2024-11-25,20.0,0
2024-11-26,2024-12-02,20.11,1
