start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,357.08,0
2023-12-12,2023-12-18,355.74,1
2023-12-19,2023-12-25,355.74,0
2023-12-26,2024-01-01,347.62,1
2024-01-02,2024-01-08,353.99,1
2024-01-09,2024-01-15,344.55,0
2024-01-16,2024-01-22,344.55,0
2024-01-23,2024-01-29,344.55,0
2024-01-30,2024-02-05,344.55,0
2024-02-06,2024-02-12,339.43,0
2024-02-13,2024-02-19,339.43,0
2024-02-20,2024-02-26,362.5,0
2024-02-27,2024-03-04,355.0,0
2024-03-05,2024-03-11,355.0,0
2024-03-12,2024-03-18,355.0,0
2024-03-19,2024-03-25,355.0,0
2024-03-26,2024-04-01,386.25,0
2024-04-02,2024-04-08,380.0,0
2024-04-09,2024-04-15,380.0,0
2024-04-16,2024-04-22,360.0,0
2024-04-23,2024-04-29,360.0,0
2024-04-30,2024-05-06,360.0,0
2024-05-07,2024-05-13,378.75,1
2024-05-14,2024-05-20,378.75,0
2024-05-21,2024-05-27,378.75,0
2024-05-28,2024-06-03,378.75,0
2024-06-04,2024-06-10,378.75,0
2024-06-11,2024-06-17,388.33,0
2024-06-18,2024-06-24,332.8,2
2024-06-25,2024-07-01,314.67,1
2024-07-02,2024-07-08,307.99,1
2024-07-09,2024-07-15,320.74,1
2024-07-16,2024-07-22,320.74,0
2024-07-23,2024-07-29,320.74,0
2024-07-30,2024-08-05,346.05,0
2024-08-06,2024-08-12,346.05,0
2024-08-13,2024-08-19,320.74,0
2024-08-20,2024-08-26,320.74,0
2024-08-27,2024-09-02,346.05,1
2024-09-03,2024-09-09,346.05,0
2024-09-10,2024-09-16,343.32,0
2024-09-17,2024-09-23,344.39,1
2024-09-24,2024-09-30,346.92,0
2024-10-01,2024-10-07,346.92,0
2024-10-08,2024-10-14,346.92,0
2024-10-15,2024-10-21,351.03,0
2024-10-22,2024-10-28,356.91,2
2024-10-29,2024-11-04,356.91,0
2024-11-05,2024-11-11,357.08,1
2024-11-12,2024-11-18,357.08,0
2024-11-19,2024-11-25,357.08,0
2024-11-26,2024-12-02,357.08,0
