start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,7.38,0
2023-12-12,2023-12-18,5.7,0
2023-12-19,2023-12-25,5.62,0
2023-12-26,2024-01-01,5.62,0
2024-01-02,2024-01-08,6.1,1
2024-01-09,2024-01-15,6.25,0
2024-01-16,2024-01-22,6.4,0
2024-01-23,2024-01-29,6.34,0
2024-01-30,2024-02-05,6.34,0
2024-02-06,2024-02-12,6.34,0
2024-02-13,2024-02-19,6.34,0
2024-02-20,2024-02-26,6.34,0
2024-02-27,2024-03-04,6.34,0
2024-03-05,2024-03-11,6.34,0
2024-03-12,2024-03-18,6.34,0
2024-03-19,2024-03-25,6.34,0
2024-03-26,2024-04-01,6.34,0
2024-04-02,2024-04-08,6.34,0
2024-04-09,2024-04-15,6.76,0
2024-04-16,2024-04-22,6.76,0
2024-04-23,2024-04-29,6.76,0
2024-04-30,2024-05-06,6.76,0
2024-05-07,2024-05-13,8.03,0
2024-05-14,2024-05-20,7.89,1
2024-05-21,2024-05-27,7.86,1
2024-05-28,2024-06-03,7.86,0
2024-06-04,2024-06-10,7.9,1
2024-06-11,2024-06-17,7.9,0
2024-06-18,2024-06-24,7.83,1
2024-06-25,2024-07-01,7.83,0
2024-07-02,2024-07-08,7.78,0
2024-07-09,2024-07-15,7.73,1
2024-07-16,2024-07-22,7.73,0
2024-07-23,2024-07-29,7.73,0
2024-07-30,2024-08-05,7.73,0
2024-08-06,2024-08-12,7.73,0
2024-08-13,2024-08-19,7.73,0
2024-08-20,2024-08-26,7.73,0
2024-08-27,2024-09-02,7.73,0
2024-09-03,2024-09-09,7.71,3
2024-09-10,2024-09-16,7.69,1
2024-09-17,2024-09-23,7.69,0
2024-09-24,2024-09-30,7.69,0
2024-10-01,2024-10-07,7.68,0
2024-10-08,2024-10-14,7.67,0
2024-10-15,2024-10-21,7.67,0
2024-10-22,2024-10-28,7.67,0
2024-10-29,2024-11-04,7.67,0
2024-11-05,2024-11-11,7.66,0
2024-11-12,2024-11-18,7.66,0
2024-11-19,2024-11-25,7.47,1
2024-11-26,2024-12-02,7.47,0
