,id,name,supertype,subtypes,level,hp,types,evolvesFrom,abilities,attacks,weaknesses,resistances,retreatCost,convertedRetreatCost,set,number,artist,rarity,flavorText,nationalPokedexNumbers,legalities,images,tcgplayer,cardmarket,evolvesTo,rules,regulationMark,url,holofoil_price,reverse_holofoil_price
0,dp3-1,Ampharos,Pokémon,['Stage 2'],52,130,['Lightning'],Flaaffy,"[{'name': 'Jamming', 'text': ""After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokémon. You can't use more than 1 Jamming Poké-Body each turn."", 'type': 'Poké-Body'}]","[{'name': 'Cluster Bolt', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': ""You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokémon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Fighting', 'value': '+30'}]","[{'type': 'Metal', 'value': '-20'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'dp3', 'name': 'Secret Wonders', 'series': 'Diamond & Pearl', 'printedTotal': 132, 'total': 132, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'SW', 'releaseDate': '2007/11/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dp3/symbol.png', 'logo': 'https://images.pokemontcg.io/dp3/logo.png'}}",1,Kouki Saitou,Rare Holo,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light.",[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dp3/1.png', 'large': 'https://images.pokemontcg.io/dp3/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dp3-1', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 5.5, 'mid': 14.49, 'high': 44.99, 'market': 14.02, 'directLow': None}, 'reverseHolofoil': {'low': 3.94, 'mid': 7.78, 'high': 12.3, 'market': 10.82, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dp3-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 1.56, 'lowPrice': 0.1, 'trendPrice': 1.4, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 1.53, 'reverseHoloLow': 0.29, 'reverseHoloTrend': 1.98, 'lowPriceExPlus': 1.0, 'avg1': 1.5, 'avg7': 1.77, 'avg30': 1.83, 'reverseHoloAvg1': 2.2, 'reverseHoloAvg7': 1.7, 'reverseHoloAvg30': 2.4}}",,,,https://prices.pokemontcg.io/tcgplayer/dp3-1,14.02,10.82
1,ex12-1,Aerodactyl,Pokémon,['Stage 1'],,70,['Colorless'],Mysterious Fossil,"[{'name': 'Reactive Protection', 'text': ""Any damage done to Aerodactyl by attacks from your opponent's Pokémon is reduced by 10 for each React Energy card attached to Aerodactyl (after applying Weakness and Resistance)."", 'type': 'Poké-Body'}]","[{'name': 'Power Blow', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10+', 'text': 'Does 10 damage plus 10 more damage for each Energy attached to Aerodactyl.'}, {'name': 'Speed Stroke', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ""During your opponent's next turn, prevent all effects, including damage, done to Aerodactyl by attacks from your opponent's Pokémon-ex.""}]","[{'type': 'Lightning', 'value': '×2'}]","[{'type': 'Fighting', 'value': '-30'}]",,,"{'id': 'ex12', 'name': 'Legend Maker', 'series': 'EX', 'printedTotal': 92, 'total': 93, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'LM', 'releaseDate': '2006/02/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex12/symbol.png', 'logo': 'https://images.pokemontcg.io/ex12/logo.png'}}",1,Hajime Kusajima,Rare Holo,,[142],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex12/1.png', 'large': 'https://images.pokemontcg.io/ex12/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex12-1', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 13.0, 'mid': 17.37, 'high': 39.99, 'market': 21.21, 'directLow': 23.99}, 'reverseHolofoil': {'low': 19.0, 'mid': 28.99, 'high': 99.99, 'market': 32.65, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex12-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 15.1, 'lowPrice': 1.98, 'trendPrice': 10.63, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 12.0, 'reverseHoloLow': 7.0, 'reverseHoloTrend': 13.98, 'lowPriceExPlus': 6.0, 'avg1': 3.0, 'avg7': 8.84, 'avg30': 10.69, 'reverseHoloAvg1': 4.0, 'reverseHoloAvg7': 8.35, 'reverseHoloAvg30': 23.89}}",,,,https://prices.pokemontcg.io/tcgplayer/ex12-1,21.21,32.65
2,mcd19-1,Caterpie,Pokémon,['Basic'],,50,['Grass'],,,"[{'cost': ['Grass'], 'name': 'Surprise Attack', 'text': 'Flip a coin. If tails, this attack does nothing.', 'damage': '20', 'convertedEnergyCost': 1}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",1,Sekio,,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.",[10],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/mcd19/1.png', 'large': 'https://images.pokemontcg.io/mcd19/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-1', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 4.44, 'mid': 6.02, 'high': 10.26, 'market': 5.14, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/mcd19-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 3.44, 'lowPrice': 0.02, 'trendPrice': 4.02, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 1.71, 'lowPriceExPlus': 1.5, 'avg1': 15.9, 'avg7': 4.41, 'avg30': 2.87, 'reverseHoloAvg1': 0.5, 'reverseHoloAvg7': 1.71, 'reverseHoloAvg30': 1.37}}",['Metapod'],,,,,
3,ex7-1,Azumarill,Pokémon,['Stage 1'],,80,['Water'],Marill,"[{'name': 'Froth', 'text': 'Once during your turn, when you play Azumarill from your hand to evolve 1 of your Active Pokémon, you may use this power. Each Defending Pokémon is now Paralyzed.', 'type': 'Poké-Power'}]","[{'name': 'Water Punch', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': 'Flip a coin for each Water Energy attached to Azumarill. This attack does 20 damage plus 20 more damage for each heads.'}]","[{'type': 'Lightning', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'ex7', 'name': 'Team Rocket Returns', 'series': 'EX', 'printedTotal': 109, 'total': 111, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'TRR', 'releaseDate': '2004/11/01', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex7/symbol.png', 'logo': 'https://images.pokemontcg.io/ex7/logo.png'}}",1,Sumiyoshi Kizuki,Rare Holo,,[184],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex7/1.png', 'large': 'https://images.pokemontcg.io/ex7/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex7-1', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 13.52, 'mid': 22.42, 'high': 29.99, 'market': 24.91, 'directLow': 17.98}, 'reverseHolofoil': {'low': 15.0, 'mid': 25.19, 'high': 51.98, 'market': 15.41, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex7-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 6.45, 'lowPrice': 1.25, 'trendPrice': 4.51, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 15.0, 'reverseHoloLow': 6.5, 'reverseHoloTrend': 14.59, 'lowPriceExPlus': 4.99, 'avg1': 12.84, 'avg7': 7.39, 'avg30': 7.13, 'reverseHoloAvg1': 15.0, 'reverseHoloAvg7': 14.49, 'reverseHoloAvg30': 12.62}}",,,,https://prices.pokemontcg.io/tcgplayer/ex7-1,24.91,15.41
4,sm9-1,Celebi & Venusaur-GX,Pokémon,"['Basic', 'TAG TEAM', 'GX']",,270,['Grass'],,,"[{'name': 'Pollen Hazard', 'cost': ['Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ""Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.""}, {'name': 'Solar Beam', 'cost': ['Grass', 'Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '150', 'text': ''}, {'name': 'Evergreen-GX', 'cost': ['Grass', 'Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '180', 'text': ""Heal all damage from this Pokémon. If this Pokémon has at least 1 extra Grass Energy attached to it (in addition to this attack's cost), shuffle all cards from your discard pile into your deck. (You can't use more than 1 GX attack in a game.)""}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'sm9', 'name': 'Team Up', 'series': 'Sun & Moon', 'printedTotal': 181, 'total': 198, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'TEU', 'releaseDate': '2019/02/01', 'updatedAt': '2021/09/01 05:37:00', 'images': {'symbol': 'https://images.pokemontcg.io/sm9/symbol.png', 'logo': 'https://images.pokemontcg.io/sm9/logo.png'}}",1,Mitsuhiro Arita,Rare Holo GX,,"[3, 251]","{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sm9/1.png', 'large': 'https://images.pokemontcg.io/sm9/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sm9-1', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 10.0, 'mid': 12.26, 'high': 18.0, 'market': 12.44, 'directLow': 10.6}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sm9-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 12.93, 'lowPrice': 4.82, 'trendPrice': 13.22, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 5.88, 'lowPriceExPlus': 5.0, 'avg1': 10.5, 'avg7': 10.45, 'avg30': 13.21, 'reverseHoloAvg1': 6.46, 'reverseHoloAvg7': 6.39, 'reverseHoloAvg30': 7.36}}",,"['TAG TEAM rule: When your TAG TEAM is Knocked Out, your opponent takes 3 Prize cards.']",,https://prices.pokemontcg.io/tcgplayer/sm9-1,12.44,
5,pl1-2,Blastoise,Pokémon,['Stage 2'],60,130,['Water'],Wartortle,"[{'name': 'Dig Well', 'text': ""Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose as many Water Energy cards as you like, and attach them to your Pokémon in any way you like. Discard the other cards. This power can't be used if Blastoise is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Aqua Press', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': ""Does 20 damage plus 10 more damage for each Energy attached to all Pokémon (both yours and your opponent's).""}, {'name': 'Double Launcher', 'cost': ['Water', 'Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '', 'text': ""Discard 2 Energy attached to Blastoise. Choose 2 of your opponent's Benched Pokémon. This attack does 60 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) Blastoise can't use Double Launcher during your next turn.""}]","[{'type': 'Lightning', 'value': '+30'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'pl1', 'name': 'Platinum', 'series': 'Platinum', 'printedTotal': 127, 'total': 133, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PL', 'releaseDate': '2009/02/11', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/pl1/symbol.png', 'logo': 'https://images.pokemontcg.io/pl1/logo.png'}}",2,Kagemaru Himeno,Rare Holo,,[9],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pl1/2.png', 'large': 'https://images.pokemontcg.io/pl1/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pl1-2', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 8.35, 'mid': 15.59, 'high': 22.28, 'market': 20.62, 'directLow': None}, 'reverseHolofoil': {'low': 10.9, 'mid': 12.77, 'high': 25.95, 'market': 12.34, 'directLow': 12.49}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/pl1-2', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 8.25, 'lowPrice': 1.5, 'trendPrice': 9.43, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 9.18, 'reverseHoloLow': 1.69, 'reverseHoloTrend': 8.3, 'lowPriceExPlus': 5.5, 'avg1': 1.0, 'avg7': 10.01, 'avg30': 8.15, 'reverseHoloAvg1': 9.95, 'reverseHoloAvg7': 8.45, 'reverseHoloAvg30': 5.58}}",,,,https://prices.pokemontcg.io/tcgplayer/pl1-2,20.62,12.34
6,ex3-2,Altaria,Pokémon,['Stage 1'],,80,['Colorless'],Swablu,,"[{'name': 'Dragon Dance', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'During your next turn, if any of your current Active Pokémon does damage to any Defending Pokémon, this attack does 40 more damage (before applying Weakness and Resistance).'}, {'name': 'Dragon Song', 'cost': ['Water', 'Lightning'], 'convertedEnergyCost': 2, 'damage': '30', 'text': 'Each Defending Pokémon is now Asleep.'}]","[{'type': 'Colorless', 'value': '×2'}]","[{'type': 'Grass', 'value': '-30'}, {'type': 'Fighting', 'value': '-30'}]",['Colorless'],1.0,"{'id': 'ex3', 'name': 'Dragon', 'series': 'EX', 'printedTotal': 97, 'total': 100, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DR', 'releaseDate': '2003/11/24', 'updatedAt': '2023/02/16 05:47:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex3/symbol.png', 'logo': 'https://images.pokemontcg.io/ex3/logo.png'}}",2,Atsuko Nishida,Rare Holo,,[334],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex3/2.png', 'large': 'https://images.pokemontcg.io/ex3/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex3-2', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 15.26, 'mid': 23.28, 'high': 29.99, 'market': 19.91, 'directLow': None}, 'reverseHolofoil': {'low': 4.21, 'mid': 9.76, 'high': 18.74, 'market': 14.97, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex3-2', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 11.24, 'lowPrice': 1.0, 'trendPrice': 11.96, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 4.99, 'reverseHoloLow': 1.99, 'reverseHoloTrend': 13.48, 'lowPriceExPlus': 4.95, 'avg1': 9.0, 'avg7': 11.41, 'avg30': 9.06, 'reverseHoloAvg1': 4.99, 'reverseHoloAvg7': 15.09, 'reverseHoloAvg30': 6.63}}",,,,https://prices.pokemontcg.io/tcgplayer/ex3-2,19.91,14.97
7,sm9-2,Weedle,Pokémon,['Basic'],,40,['Grass'],,,"[{'name': 'Tangle Drag', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.""}, {'name': 'Bug Bite', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'sm9', 'name': 'Team Up', 'series': 'Sun & Moon', 'printedTotal': 181, 'total': 198, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'TEU', 'releaseDate': '2019/02/01', 'updatedAt': '2021/09/01 05:37:00', 'images': {'symbol': 'https://images.pokemontcg.io/sm9/symbol.png', 'logo': 'https://images.pokemontcg.io/sm9/logo.png'}}",2,Shibuzoh.,Common,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",[13],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sm9/2.png', 'large': 'https://images.pokemontcg.io/sm9/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sm9-2', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.06, 'mid': 0.2, 'high': 1.38, 'market': 0.11, 'directLow': None}, 'reverseHolofoil': {'low': 0.19, 'mid': 0.35, 'high': 0.99, 'market': 0.31, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sm9-2', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.08, 'lowPrice': 0.02, 'trendPrice': 0.09, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.3, 'reverseHoloLow': 0.1, 'reverseHoloTrend': 0.42, 'lowPriceExPlus': 0.02, 'avg1': 0.1, 'avg7': 0.08, 'avg30': 0.09, 'reverseHoloAvg1': 0.3, 'reverseHoloAvg7': 0.31, 'reverseHoloAvg30': 0.35}}",['Kakuna'],,,,,
8,mcd19-2,Alolan Exeggutor,Pokémon,['Stage 1'],,160,['Grass'],Exeggcute,,"[{'cost': ['Grass'], 'name': 'Tropical Shake', 'text': ""This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way."", 'damage': '20+', 'convertedEnergyCost': 1}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",2,Satoshi Shirai,,"As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon.",[103],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/mcd19/2.png', 'large': 'https://images.pokemontcg.io/mcd19/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-2', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 2.13, 'mid': 3.3, 'high': 8.0, 'market': 3.14, 'directLow': 3.13}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/mcd19-2', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 4.38, 'lowPrice': 0.15, 'trendPrice': 3.9, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 2.2, 'lowPriceExPlus': 0.79, 'avg1': 19.99, 'avg7': 4.38, 'avg30': 2.47, 'reverseHoloAvg1': 2.0, 'reverseHoloAvg7': 2.23, 'reverseHoloAvg30': 1.54}}",,,,,,
9,xy5-2,Kakuna,Pokémon,['Stage 1'],,80,['Grass'],Weedle,,"[{'name': 'Bug Bite', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'xy5', 'name': 'Primal Clash', 'series': 'XY', 'printedTotal': 160, 'total': 164, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PRC', 'releaseDate': '2015/02/04', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/xy5/symbol.png', 'logo': 'https://images.pokemontcg.io/xy5/logo.png'}}",2,Kagemaru Himeno,Uncommon,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",[14],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/xy5/2.png', 'large': 'https://images.pokemontcg.io/xy5/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/xy5-2', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.04, 'mid': 0.21, 'high': 4.41, 'market': 0.15, 'directLow': None}, 'reverseHolofoil': {'low': 0.11, 'mid': 0.37, 'high': 1.52, 'market': 0.4, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/xy5-2', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.09, 'lowPrice': 0.02, 'trendPrice': 0.1, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.4, 'reverseHoloLow': 0.05, 'reverseHoloTrend': 0.46, 'lowPriceExPlus': 0.02, 'avg1': 0.15, 'avg7': 0.09, 'avg30': 0.12, 'reverseHoloAvg1': 0.3, 'reverseHoloAvg7': 0.41, 'reverseHoloAvg30': 0.39}}",['Beedrill'],,,,,
